,V1
0,0.22613065326633167
1,1.0
2,0.22613065326633167
3,0.22613065326633167
4,0.22613065326633167
5,1.0
6,0.22613065326633167
7,0.22613065326633167
8,1.0
9,0.22613065326633167
10,0.22613065326633167
11,0.22613065326633167
12,1.0
13,1.0
14,0.22613065326633167
15,0.22613065326633167
16,0.22613065326633167
17,1.0
18,1.0
19,0.22613065326633167
20,0.22613065326633167
21,0.22613065326633167
22,0.22613065326633167
23,0.22613065326633167
24,1.0
25,0.22613065326633167
26,0.22613065326633167
27,0.22613065326633167
28,1.0
29,0.22613065326633167
30,0.22613065326633167
31,0.22613065326633167
32,0.22613065326633167
33,0.22613065326633167
34,0.22613065326633167
35,0.22613065326633167
36,0.22613065326633167
37,0.22613065326633167
38,0.22613065326633167
39,1.0
40,0.22613065326633167
41,1.0
42,0.22613065326633167
43,1.0
44,0.22613065326633167
45,0.22613065326633167
46,0.22613065326633167
47,0.22613065326633167
48,0.22613065326633167
49,0.22613065326633167
50,1.0
51,0.22613065326633167
52,0.22613065326633167
53,0.22613065326633167
54,0.22613065326633167
55,0.22613065326633167
56,1.0
57,0.22613065326633167
58,0.22613065326633167
59,1.0
60,0.22613065326633167
61,0.22613065326633167
62,0.22613065326633167
63,0.22613065326633167
64,1.0
65,0.22613065326633167
66,0.22613065326633167
67,0.22613065326633167
68,0.22613065326633167
69,1.0
70,0.22613065326633167
71,0.22613065326633167
72,0.22613065326633167
73,1.0
74,0.22613065326633167
75,0.22613065326633167
76,0.22613065326633167
77,1.0
78,0.22613065326633167
79,0.22613065326633167
80,0.22613065326633167
81,0.22613065326633167
82,0.22613065326633167
83,1.0
84,0.22613065326633167
85,0.22613065326633167
86,0.22613065326633167
87,0.22613065326633167
88,0.22613065326633167
89,0.22613065326633167
90,1.0
91,0.22613065326633167
92,0.22613065326633167
93,1.0
94,0.22613065326633167
95,0.22613065326633167
96,0.22613065326633167
97,0.22613065326633167
98,0.22613065326633167
99,0.22613065326633167
100,0.22613065326633167
101,1.0
102,0.22613065326633167
103,0.22613065326633167
104,0.22613065326633167
105,0.22613065326633167
106,1.0
107,0.22613065326633167
108,0.22613065326633167
109,0.22613065326633167
110,1.0
111,0.22613065326633167
112,0.22613065326633167
113,0.22613065326633167
114,0.22613065326633167
115,0.22613065326633167
116,0.22613065326633167
117,0.22613065326633167
118,0.22613065326633167
119,0.22613065326633167
120,1.0
121,0.22613065326633167
122,0.22613065326633167
123,0.22613065326633167
124,0.22613065326633167
125,0.22613065326633167
126,0.22613065326633167
127,1.0
128,1.0
129,1.0
130,0.22613065326633167
131,0.22613065326633167
132,0.22613065326633167
133,0.22613065326633167
134,1.0
135,0.22613065326633167
136,0.22613065326633167
137,0.22613065326633167
138,0.22613065326633167
139,0.22613065326633167
140,0.22613065326633167
141,1.0
142,0.22613065326633167
143,0.22613065326633167
144,0.22613065326633167
145,0.22613065326633167
146,0.22613065326633167
147,1.0
148,0.22613065326633167
149,1.0
150,0.22613065326633167
151,0.22613065326633167
152,0.22613065326633167
153,0.22613065326633167
154,1.0
155,0.22613065326633167
156,0.22613065326633167
157,1.0
158,1.0
159,0.22613065326633167
160,0.22613065326633167
161,0.22613065326633167
162,1.0
163,0.22613065326633167
164,0.22613065326633167
165,1.0
166,0.22613065326633167
167,0.22613065326633167
168,0.22613065326633167
169,0.22613065326633167
