,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
13,14,14,black,age.gp3,NoTr,Trade,NoGroup,3,1,0,1,1,3,0,0,1,2,2,1,1,2
464,465,465,black,age.gp3,NoTr,Trade,Group,15,0,5,5,5,10,5,0,4,11,1,14,6,9
1533,1534,1534,black,age.gp4,NoTr,NoTrade,NoGroup,7,0,2,2,3,5,2,0,2,5,1,6,2,5
1594,1595,1595,black,age.gp1,Tr,Trade,NoGroup,17,8,2,3,4,12,5,0,6,11,5,12,9,8
14,15,15,black,age.gp2,Tr,NoTrade,Group,20,4,9,5,2,14,6,0,5,15,5,15,12,8
17,18,18,black,age.gp2,Tr,NoTrade,Group,24,1,10,8,5,11,11,2,8,16,2,22,13,11
292,293,293,black,age.gp2,NoTr,NoTrade,Group,16,1,9,1,5,8,7,1,6,10,2,14,8,8
952,953,953,white,age.gp3,Tr,NoTrade,Group,20,2,6,3,9,5,15,0,5,15,1,19,14,6
1018,1019,1019,white,age.gp2,NoTr,Trade,Group,25,1,10,6,8,4,21,0,12,13,0,25,18,7
1087,1088,1088,black,age.gp2,Tr,NoTrade,NoGroup,5,0,2,3,0,4,1,0,1,4,0,5,3,2
1445,1446,1446,white,age.gp1,NoTr,NoTrade,NoGroup,12,4,4,1,3,2,9,1,5,7,1,11,7,5
