,node,n,treat,type_tr,type_no_tr
0,2320,9,PrEP,large,large
1,102,4,No_PrEP,large,large
2,1488,7,PrEP,large,large
3,530,3,PrEP,large,large
4,611,5,PrEP,large,large
5,807,5,No_PrEP,large,large
6,2730,1,No_PrEP,large,large
7,51,2,PrEP,large,large
8,1218,2,No_PrEP,small,large
9,1608,4,No_PrEP,large,large
10,193,3,No_PrEP,large,large
11,808,5,PrEP,large,large
12,1313,2,No_PrEP,large,large
13,1475,1,No_PrEP,large,large
14,1376,1,No_PrEP,large,large
15,157,3,PrEP,large,large
16,248,7,PrEP,large,large
17,1724,1,No_PrEP,large,large
18,990,1,No_PrEP,large,large
19,944,1,PrEP,large,large
20,206,4,PrEP,large,large
21,1412,2,No_PrEP,large,large
22,294,9,PrEP,large,large
23,853,4,No_PrEP,large,large
24,238,9,PrEP,large,large
25,1670,4,PrEP,large,large
26,1621,3,PrEP,large,large
27,1312,2,No_PrEP,small,small
28,715,2,PrEP,large,large
29,1464,1,No_PrEP,large,large
30,518,4,No_PrEP,large,large
31,90,5,No_PrEP,large,large
32,1199,9,PrEP,large,large
33,1269,8,PrEP,large,large
34,2026,2,PrEP,small,large
35,425,2,No_PrEP,large,large
36,318,4,PrEP,large,large
37,256,7,No_PrEP,large,large
38,817,4,No_PrEP,large,large
39,1381,4,No_PrEP,large,large
40,211,2,No_PrEP,large,large
41,1088,2,No_PrEP,large,large
42,458,3,No_PrEP,large,large
43,1133,3,PrEP,large,large
44,1366,4,No_PrEP,large,large
45,1981,3,No_PrEP,large,large
46,2313,6,PrEP,large,large
47,732,2,PrEP,large,large
48,446,9,PrEP,large,large
49,933,2,PrEP,large,large
50,338,3,No_PrEP,large,large
51,967,3,PrEP,large,large
52,857,2,No_PrEP,large,large
53,2471,2,No_PrEP,large,large
54,1000,2,No_PrEP,large,large
55,1648,4,No_PrEP,large,large
56,2090,9,PrEP,large,large
57,2316,1,No_PrEP,large,large
58,101,1,No_PrEP,large,large
59,1578,4,No_PrEP,large,large
60,272,3,PrEP,large,large
61,1021,5,PrEP,large,large
62,171,2,PrEP,large,large
63,1176,2,No_PrEP,large,large
64,1140,7,PrEP,large,large
65,2540,2,No_PrEP,large,large
66,13,1,PrEP,small,large
67,2056,5,PrEP,large,large
68,706,6,No_PrEP,large,large
69,609,3,No_PrEP,large,large
70,1818,4,No_PrEP,large,large
71,434,2,No_PrEP,large,large
72,1078,3,PrEP,large,large
73,649,3,PrEP,large,large
74,143,7,PrEP,large,large
75,208,2,No_PrEP,large,large
76,1394,2,No_PrEP,large,large
77,949,3,PrEP,large,large
78,612,2,No_PrEP,large,large
79,2213,4,No_PrEP,large,large
80,2163,7,PrEP,large,large
81,1033,2,No_PrEP,large,large
82,1950,7,PrEP,large,large
83,695,4,PrEP,large,large
84,2098,2,No_PrEP,large,large
85,981,4,No_PrEP,large,large
86,783,6,PrEP,large,large
87,746,2,No_PrEP,large,large
88,1433,6,PrEP,large,large
89,639,2,No_PrEP,large,large
90,1895,1,No_PrEP,large,large
91,1839,2,No_PrEP,large,large
92,510,2,No_PrEP,large,large
93,343,2,No_PrEP,large,large
94,1834,4,PrEP,large,large
95,1337,2,No_PrEP,large,large
96,2613,3,No_PrEP,large,large
97,731,5,No_PrEP,large,large
98,2742,1,No_PrEP,large,large
99,881,5,No_PrEP,large,large
100,2071,2,No_PrEP,large,large
101,1101,2,No_PrEP,large,large
102,1872,9,PrEP,large,large
103,522,4,PrEP,large,large
104,2285,2,No_PrEP,large,large
105,693,3,No_PrEP,large,large
106,168,3,PrEP,large,large
107,1091,2,No_PrEP,large,large
108,1471,1,No_PrEP,large,large
109,1229,1,No_PrEP,large,large
110,2294,1,No_PrEP,large,large
