,node,n,treat,type_tr,type_no_tr
0,943,9,PrEP,large,large
1,599,2,No_PrEP,large,large
2,1110,1,No_PrEP,large,large
3,2539,1,No_PrEP,large,large
4,2400,4,No_PrEP,large,large
5,1816,8,PrEP,large,large
6,1127,14,PrEP,large,large
7,853,1,No_PrEP,large,large
8,2311,2,No_PrEP,large,large
9,2592,2,No_PrEP,large,large
10,1473,11,PrEP,large,large
11,360,4,No_PrEP,large,large
12,1771,1,No_PrEP,large,large
13,954,16,PrEP,large,large
14,2498,3,No_PrEP,large,large
15,1746,1,No_PrEP,large,large
16,1617,3,No_PrEP,large,large
17,884,13,PrEP,large,large
18,1396,9,PrEP,large,large
19,85,9,PrEP,large,large
20,595,1,No_PrEP,large,large
21,2051,7,PrEP,large,large
22,2395,1,No_PrEP,large,large
23,667,9,PrEP,large,large
24,1980,2,No_PrEP,large,large
25,1013,5,PrEP,large,large
26,1301,2,No_PrEP,large,large
27,2393,1,No_PrEP,large,large
28,2576,1,No_PrEP,large,large
29,2137,1,No_PrEP,large,large
30,218,3,No_PrEP,large,large
31,813,3,No_PrEP,large,large
32,1300,1,No_PrEP,large,large
33,2123,2,No_PrEP,large,large
34,1592,4,No_PrEP,large,large
35,953,5,No_PrEP,large,large
36,1850,2,No_PrEP,large,large
37,1818,4,No_PrEP,large,large
38,1042,1,No_PrEP,large,large
39,898,1,No_PrEP,large,large
40,1153,8,PrEP,large,large
41,2111,4,No_PrEP,large,large
42,1340,8,PrEP,large,large
43,1041,9,PrEP,large,large
44,1705,2,No_PrEP,large,large
45,1378,1,No_PrEP,large,large
46,1235,2,No_PrEP,large,large
47,1691,3,No_PrEP,large,large
48,1131,4,No_PrEP,large,large
49,1199,11,PrEP,large,large
50,254,12,PrEP,large,large
51,2744,2,No_PrEP,large,large
52,1830,2,No_PrEP,large,large
53,2037,1,No_PrEP,large,large
54,2179,2,No_PrEP,large,large
55,600,1,No_PrEP,large,large
56,2607,3,No_PrEP,large,large
57,2586,3,No_PrEP,large,large
58,874,1,No_PrEP,large,large
59,102,2,No_PrEP,large,large
60,1284,3,No_PrEP,large,large
61,327,3,No_PrEP,large,large
62,2301,5,PrEP,large,large
63,451,2,No_PrEP,large,large
64,151,1,No_PrEP,large,large
65,1046,9,PrEP,large,large
66,1945,9,PrEP,large,large
67,920,2,No_PrEP,large,large
68,1565,1,No_PrEP,large,large
69,2608,2,No_PrEP,large,large
70,988,14,PrEP,large,large
71,2726,2,No_PrEP,large,large
72,2630,3,No_PrEP,large,large
73,1189,11,PrEP,large,large
74,966,3,No_PrEP,large,large
75,1005,1,No_PrEP,large,large
76,500,13,PrEP,large,large
77,2113,1,No_PrEP,large,large
78,930,1,No_PrEP,large,large
79,2450,1,No_PrEP,large,large
80,1539,4,PrEP,large,large
81,2609,2,No_PrEP,large,large
82,1434,7,PrEP,large,large
83,1743,12,PrEP,large,large
84,1702,1,No_PrEP,large,large
85,373,1,No_PrEP,large,large
86,412,2,No_PrEP,large,large
87,1307,3,No_PrEP,large,large
88,381,3,PrEP,large,large
89,2010,1,No_PrEP,large,large
