,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2960,1,0,0,0,0,0,0,0,0,0,0,0,1158
1,0.11181636122252792,2960,0,0,1,0,0,0,0,0,0,0,0,0,1158
2,0.1224775599270026,2959,1,0,1,0,0,0,0,0,0,0,0,0,16
3,0.4853639905337708,2959,0,0,2,0,0,0,0,0,0,0,0,0,16
4,0.49423036606837856,2958,1,0,2,0,0,0,0,0,0,0,0,0,392
5,0.6315667928870674,2958,1,0,1,0,0,0,0,0,0,1,0,0,16
6,0.9357894514957454,2959,1,0,1,0,0,0,0,0,0,0,0,0,16
7,1.4971823528130634,2959,1,0,0,0,0,0,0,0,0,1,0,0,1158
8,1.7458083743447135,2960,1,0,0,0,0,0,0,0,0,0,0,0,1158
9,3.5137100422308145,2960,0,1,0,0,0,0,0,0,0,0,0,0,392
10,4.294835842117671,2959,1,1,0,0,0,0,0,0,0,0,0,0,471
11,4.301318943301948,2958,2,1,0,0,0,0,0,0,0,0,0,0,358
12,4.465162830706377,2958,1,2,0,0,0,0,0,0,0,0,0,0,358
13,4.468606073488641,2957,2,2,0,0,0,0,0,0,0,0,0,0,1541
14,4.619815977865147,2956,3,2,0,0,0,0,0,0,0,0,0,0,474
15,4.6618009961057885,2956,3,1,0,1,0,0,0,0,0,0,0,0,392
16,4.7583178641981405,2955,4,1,0,1,0,0,0,0,0,0,0,0,1539
17,4.790505668988353,2955,4,0,0,2,0,0,0,0,0,0,0,0,358
18,5.045828197694686,2954,5,0,0,2,0,0,0,0,0,0,0,0,484
19,5.07207820886349,2953,6,0,0,2,0,0,0,0,0,0,0,0,477
20,5.116858690072373,2953,5,1,0,2,0,0,0,0,0,0,0,0,484
21,5.118600792150116,2953,4,2,0,2,0,0,0,0,0,0,0,0,477
22,5.1596096946107615,2952,5,2,0,2,0,0,0,0,0,0,0,0,1207
23,5.162243325015924,2951,6,2,0,2,0,0,0,0,0,0,0,0,2013
24,5.215830504400793,2951,5,2,1,2,0,0,0,0,0,0,0,0,1207
25,5.218074558205985,2951,4,3,1,2,0,0,0,0,0,0,0,0,1541
26,5.25727225992338,2951,4,2,1,3,0,0,0,0,0,0,0,0,1541
27,5.334076307614436,2951,4,2,0,3,1,0,0,0,0,0,0,0,1207
28,5.53892057146702,2951,4,1,0,4,1,0,0,0,0,0,0,0,477
29,5.609885949878832,2951,3,1,1,4,1,0,0,0,0,0,0,0,1539
30,5.67025510434513,2950,4,1,1,4,1,0,0,0,0,0,0,0,542
31,5.67396083374286,2950,3,2,1,4,1,0,0,0,0,0,0,0,542
32,5.707917465446354,2949,4,2,1,4,1,0,0,0,0,0,0,0,467
33,5.741562335459805,2949,3,3,1,4,1,0,0,0,0,0,0,0,471
34,5.768124214655484,2948,4,3,1,4,1,0,0,0,0,0,0,0,472
35,5.907962701440561,2948,4,3,0,4,1,0,0,0,0,1,0,0,1539
36,5.935871728311547,2948,3,3,1,4,1,0,0,0,0,1,0,0,474
37,5.948357870249827,2947,4,3,1,4,1,0,0,0,0,1,0,0,28
38,6.025086798291977,2948,4,3,1,4,1,0,0,0,0,0,0,0,1539
39,6.128849140020033,2947,5,3,1,4,1,0,0,0,0,0,0,0,170
40,6.153492392791446,2947,5,3,0,4,1,0,0,0,0,1,0,0,474
41,6.243381811413731,2947,4,3,1,4,1,0,0,0,0,1,0,0,170
42,6.301944872214736,2946,5,3,1,4,1,0,0,0,0,1,0,0,69
43,6.307255426808813,2946,5,3,0,4,1,0,0,0,0,2,0,0,170
44,6.327119105314897,2946,5,3,0,3,1,1,0,0,0,2,0,0,1541
45,6.4127065820969245,2947,5,3,0,3,1,1,0,0,0,1,0,0,474
46,6.438100972862145,2948,5,3,0,3,1,1,0,0,0,0,0,0,170
47,6.577406251678548,2948,4,4,0,3,1,1,0,0,0,0,0,0,467
48,6.617972461263281,2948,4,4,0,3,0,1,0,0,0,1,0,0,1207
49,6.6672049479742785,2949,4,4,0,3,0,1,0,0,0,0,0,0,1207
50,6.705326529464076,2948,5,4,0,3,0,1,0,0,0,0,0,0,1539
51,6.773441943254036,2948,5,4,0,3,0,0,0,1,0,0,0,0,1541
52,6.8272140816376625,2948,4,4,1,3,0,0,0,1,0,0,0,0,1539
53,6.955762536156501,2947,5,4,1,3,0,0,0,1,0,0,0,0,1537
54,7.1774134385547494,2946,6,4,1,3,0,0,0,1,0,0,0,0,475
55,7.198163622723827,2946,5,5,1,3,0,0,0,1,0,0,0,0,28
56,7.208253646928181,2946,4,6,1,3,0,0,0,1,0,0,0,0,1537
57,7.232431180643649,2945,5,6,1,3,0,0,0,1,0,0,0,0,473
58,7.303765714819386,2945,4,7,1,3,0,0,0,1,0,0,0,0,69
59,7.316784562824679,2945,3,8,1,3,0,0,0,1,0,0,0,0,472
60,7.338446890525455,2945,3,8,1,2,0,0,0,1,0,1,0,0,358
61,7.468238275296626,2945,2,9,1,2,0,0,0,1,0,1,0,0,2013
62,7.533768288269276,2946,2,9,1,2,0,0,0,1,0,0,0,0,358
63,7.708025705624534,2946,2,8,1,3,0,0,0,1,0,0,0,0,2013
64,7.713291040727777,2945,3,8,1,3,0,0,0,1,0,0,0,0,2115
65,7.749837943429936,2945,3,7,1,3,0,0,0,1,0,1,0,0,472
66,7.859814529381039,2944,4,7,1,3,0,0,0,1,0,1,0,0,281
67,7.885622081210713,2944,3,7,2,3,0,0,0,1,0,1,0,0,475
68,7.9344316803204125,2944,3,6,2,4,0,0,0,1,0,1,0,0,542
69,7.942352986324828,2944,3,5,2,5,0,0,0,1,0,1,0,0,28
70,7.954581232328978,2943,4,5,2,5,0,0,0,1,0,1,0,0,1169
71,7.977308476451721,2943,3,5,3,5,0,0,0,1,0,1,0,0,1169
72,7.992101995981892,2943,3,5,2,5,1,0,0,1,0,1,0,0,1169
73,8.03328933204633,2943,3,4,2,6,1,0,0,1,0,1,0,0,467
74,8.104247677749754,2944,3,4,2,6,1,0,0,1,0,0,0,0,472
75,8.125633847750654,2944,2,5,2,6,1,0,0,1,0,0,0,0,473
76,8.194946004619247,2944,2,5,2,6,0,0,0,1,0,1,0,0,1169
77,8.209338619872225,2943,3,5,2,6,0,0,0,1,0,1,0,0,748
78,8.230926797866083,2942,4,5,2,6,0,0,0,1,0,1,0,0,894
79,8.232380464853668,2941,5,5,2,6,0,0,0,1,0,1,0,0,668
80,8.238394482662809,2941,4,6,2,6,0,0,0,1,0,1,0,0,2115
81,8.243021232589422,2942,4,6,2,6,0,0,0,1,0,0,0,0,1169
82,8.282428616928616,2942,3,7,2,6,0,0,0,1,0,0,0,0,281
83,8.3277780290358,2942,3,6,2,6,0,0,0,1,0,1,0,0,69
84,8.33015018762283,2942,3,6,2,5,0,1,0,1,0,1,0,0,28
85,8.365046148427828,2942,2,6,3,5,0,1,0,1,0,1,0,0,748
86,8.421783093711436,2942,1,6,4,5,0,1,0,1,0,1,0,0,894
87,8.448834469720545,2943,1,6,4,5,0,1,0,1,0,0,0,0,69
88,8.477010546979644,2942,2,6,4,5,0,1,0,1,0,0,0,0,147
89,8.5206679521722,2942,2,6,3,5,1,1,0,1,0,0,0,0,475
90,8.54194965476187,2942,2,6,3,4,1,2,0,1,0,0,0,0,477
91,8.584332955781925,2941,3,6,3,4,1,2,0,1,0,0,0,0,358
92,8.696812697054101,2941,3,6,3,3,1,2,0,1,0,1,0,0,467
93,8.770621693674807,2940,4,6,3,3,1,2,0,1,0,1,0,0,742
94,8.819804301615171,2941,4,6,3,3,1,2,0,1,0,0,0,0,467
95,8.908501768142866,2941,4,5,3,3,1,2,0,1,0,1,0,0,1537
96,8.922000259254718,2942,4,5,3,3,1,2,0,1,0,0,0,0,1537
97,8.983979121032151,2942,4,4,3,3,1,2,0,1,0,1,0,0,473
98,8.99764080702155,2941,5,4,3,3,1,2,0,1,0,1,0,0,44
99,9.02526963666685,2940,6,4,3,3,1,2,0,1,0,1,0,0,342
100,9.04972893963354,2940,5,5,3,3,1,2,0,1,0,1,0,0,358
101,9.051489290915367,2940,4,6,3,3,1,2,0,1,0,1,0,0,342
102,9.081434670474346,2940,3,6,4,3,1,2,0,1,0,1,0,0,742
103,9.105521884138987,2939,4,6,4,3,1,2,0,1,0,1,0,0,84
104,9.129730258288859,2939,4,6,3,3,2,2,0,1,0,1,0,0,894
105,9.13081428820652,2939,4,5,3,3,2,2,0,1,0,2,0,0,281
106,9.145130112697961,2939,3,6,3,3,2,2,0,1,0,2,0,0,44
107,9.161704345850273,2939,3,5,3,4,2,2,0,1,0,2,0,0,358
108,9.202336582083442,2939,3,5,2,4,3,2,0,1,0,2,0,0,742
109,9.243240254251978,2939,3,5,2,4,2,2,0,1,0,3,0,0,894
110,9.257224587515845,2938,4,5,2,4,2,2,0,1,0,3,0,0,470
111,9.271833871866837,2939,4,5,2,4,2,2,0,1,0,2,0,0,894
112,9.311298579270728,2938,5,5,2,4,2,2,0,1,0,2,0,0,1369
113,9.328039630280843,2939,5,5,2,4,2,2,0,1,0,1,0,0,473
114,9.360718930128783,2938,6,5,2,4,2,2,0,1,0,1,0,0,1235
115,9.371226387434175,2938,6,5,2,3,2,3,0,1,0,1,0,0,2013
116,9.373145997691068,2938,6,5,1,3,3,3,0,1,0,1,0,0,1539
117,9.414821959669517,2938,5,6,1,3,3,3,0,1,0,1,0,0,668
118,9.453137531391974,2938,5,6,1,3,2,3,0,1,0,2,0,0,742
119,9.45593222574972,2939,5,6,1,3,2,3,0,1,0,1,0,0,742
120,9.456841682324978,2939,5,6,1,2,2,4,0,1,0,1,0,0,392
121,9.456935024529304,2939,4,6,2,2,2,4,0,1,0,1,0,0,147
122,9.461969562049722,2939,4,6,2,1,2,5,0,1,0,1,0,0,358
123,9.470822672546289,2940,4,6,2,1,2,5,0,1,0,0,0,0,281
124,9.555744121388082,2939,5,6,2,1,2,5,0,1,0,0,0,0,732
125,9.579445605800556,2939,4,6,3,1,2,5,0,1,0,0,0,0,470
126,9.6212911664917,2939,4,6,3,1,1,5,0,1,0,1,0,0,475
127,9.75017142530904,2939,3,7,3,1,1,5,0,1,0,1,0,0,1235
128,9.771235110521589,2938,4,7,3,1,1,5,0,1,0,1,0,0,1826
129,9.827015674927177,2937,5,7,3,1,1,5,0,1,0,1,0,0,1726
130,9.843378133663533,2937,5,7,2,1,2,5,0,1,0,1,0,0,748
131,9.889340032800854,2936,6,7,2,1,2,5,0,1,0,1,0,0,92
132,9.899396018540527,2937,6,7,2,1,2,5,0,1,0,0,0,0,475
133,9.981663065794532,2937,6,7,2,1,1,5,0,1,0,1,0,0,748
134,9.983534254646882,2938,6,7,2,1,1,5,0,1,0,0,0,0,748
