,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,1100
1,2.454777864283842,2951,0,0,1,0,0,0,0,0,0,0,0,0,1100
2,2.531047527126867,2950,1,0,1,0,0,0,0,0,0,0,0,0,354
3,2.919466139865874,2950,1,0,0,0,0,0,0,0,0,1,0,0,1100
4,3.117473651475564,2951,1,0,0,0,0,0,0,0,0,0,0,0,1100
5,3.5953536272040534,2951,0,1,0,0,0,0,0,0,0,0,0,0,354
6,3.77297271880095,2951,0,0,0,1,0,0,0,0,0,0,0,0,354
7,5.350564047559974,2950,1,0,0,1,0,0,0,0,0,0,0,0,1843
8,6.026905429574426,2950,0,0,1,1,0,0,0,0,0,0,0,0,1843
9,6.334614546445135,2950,0,0,0,1,0,0,0,0,0,1,0,0,1843
10,6.531361993368096,2951,0,0,0,1,0,0,0,0,0,0,0,0,1843
11,8.101394948738456,2950,1,0,0,1,0,0,0,0,0,0,0,0,736
12,8.31791747574189,2950,0,1,0,1,0,0,0,0,0,0,0,0,736
13,8.921257006977022,2949,1,1,0,1,0,0,0,0,0,0,0,0,796
14,9.029924002978573,2948,2,1,0,1,0,0,0,0,0,0,0,0,250
15,9.670235609776139,2948,1,2,0,1,0,0,0,0,0,0,0,0,796
16,9.761876615127386,2947,2,2,0,1,0,0,0,0,0,0,0,0,1825
