,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,1100
1,0.564358369647529,2951,0,0,1,0,0,0,0,0,0,0,0,0,1100
2,1.0829229606790265,2950,1,0,1,0,0,0,0,0,0,0,0,0,842
3,1.562409609920894,2949,2,0,1,0,0,0,0,0,0,0,0,0,890
4,1.7986635561045077,2949,2,0,0,0,0,0,0,0,0,1,0,0,1100
5,2.129585447060233,2949,1,1,0,0,0,0,0,0,0,1,0,0,890
6,2.6239404473922203,2948,2,1,0,0,0,0,0,0,0,1,0,0,1833
7,2.6285487274327375,2948,1,1,1,0,0,0,0,0,0,1,0,0,842
8,2.6288361830653004,2949,1,1,1,0,0,0,0,0,0,0,0,0,1100
9,2.6919357706523823,2948,2,1,1,0,0,0,0,0,0,0,0,0,1751
10,2.711676221481447,2947,3,1,1,0,0,0,0,0,0,0,0,0,684
11,2.9608567520125635,2947,3,0,1,1,0,0,0,0,0,0,0,0,890
12,3.221054194471113,2947,3,0,0,1,0,0,0,0,0,1,0,0,842
13,3.2361500141121384,2947,2,1,0,1,0,0,0,0,0,1,0,0,1833
14,3.319385623146026,2947,1,2,0,1,0,0,0,0,0,1,0,0,684
15,3.599508006205585,2948,1,2,0,1,0,0,0,0,0,0,0,0,842
16,3.63157818383005,2948,0,3,0,1,0,0,0,0,0,0,0,0,1751
17,3.835690931801264,2947,1,3,0,1,0,0,0,0,0,0,0,0,524
18,4.058648635983113,2947,1,2,0,2,0,0,0,0,0,0,0,0,1833
19,4.480069609103244,2947,1,1,0,2,0,0,0,0,0,1,0,0,1751
20,4.58729252599715,2948,1,1,0,2,0,0,0,0,0,0,0,0,1751
21,4.743950328318461,2947,2,1,0,2,0,0,0,0,0,0,0,0,2614
22,4.857455181074575,2947,1,2,0,2,0,0,0,0,0,0,0,0,2614
23,4.930535784761675,2947,0,3,0,2,0,0,0,0,0,0,0,0,524
24,5.046073762630545,2946,1,3,0,2,0,0,0,0,0,0,0,0,1751
25,5.077224016754552,2946,1,2,0,3,0,0,0,0,0,0,0,0,684
26,5.264451009218255,2946,1,2,0,2,0,0,0,0,0,1,0,0,1833
27,5.290320308877644,2947,1,2,0,2,0,0,0,0,0,0,0,0,1833
28,5.299891271634441,2947,0,3,0,2,0,0,0,0,0,0,0,0,1751
29,5.413136938208369,2947,0,3,0,1,0,0,0,0,0,1,0,0,890
30,5.605131951909738,2947,0,2,0,2,0,0,0,0,0,1,0,0,524
31,5.63788618612462,2947,0,1,0,3,0,0,0,0,0,1,0,0,1751
32,5.856916736675561,2948,0,1,0,3,0,0,0,0,0,0,0,0,890
33,6.192840448713996,2947,1,1,0,3,0,0,0,0,0,0,0,0,891
34,6.396394707994197,2947,1,0,0,4,0,0,0,0,0,0,0,0,2614
35,6.595417578147576,2947,1,0,0,3,0,0,0,0,0,1,0,0,684
36,6.637830021158408,2946,2,0,0,3,0,0,0,0,0,1,0,0,894
37,6.714815171816262,2945,3,0,0,3,0,0,0,0,0,1,0,0,890
38,6.744737058773864,2944,4,0,0,3,0,0,0,0,0,1,0,0,2422
39,6.759547856330958,2944,3,1,0,3,0,0,0,0,0,1,0,0,890
40,6.8387594973834425,2945,3,1,0,3,0,0,0,0,0,0,0,0,684
41,7.045577027564321,2945,2,1,1,3,0,0,0,0,0,0,0,0,2422
42,7.120337792267473,2945,1,2,1,3,0,0,0,0,0,0,0,0,894
43,7.296856253911488,2945,1,2,0,3,1,0,0,0,0,0,0,0,2422
44,7.467029336844479,2944,2,2,0,3,1,0,0,0,0,0,0,0,1931
45,7.540147023760137,2944,2,2,0,3,0,0,1,0,0,0,0,0,2422
46,7.716000316192352,2944,1,3,0,3,0,0,1,0,0,0,0,0,891
47,7.765445574459304,2943,2,3,0,3,0,0,1,0,0,0,0,0,1261
48,7.951585555241469,2943,2,2,0,4,0,0,1,0,0,0,0,0,894
49,8.000238972517307,2943,1,2,1,4,0,0,1,0,0,0,0,0,1261
50,8.11797768192689,2942,2,2,1,4,0,0,1,0,0,0,0,0,895
51,8.222523219307647,2942,2,2,0,4,0,0,1,0,0,1,0,0,1261
52,8.266134206438508,2942,2,1,0,4,0,0,1,0,0,2,0,0,890
53,8.350498809117264,2942,2,0,0,5,0,0,1,0,0,2,0,0,891
54,8.504714340880742,2941,3,0,0,5,0,0,1,0,0,2,0,0,2179
55,8.509270462113914,2941,3,0,0,5,0,0,0,0,0,2,1,0,2422
56,8.528223969883816,2942,3,0,0,5,0,0,0,0,0,1,1,0,1261
57,8.536955887378028,2943,3,0,0,5,0,0,0,0,0,0,1,0,890
58,8.555399873285356,2943,3,0,0,4,0,1,0,0,0,0,1,0,891
59,8.576025564417057,2942,4,0,0,4,0,1,0,0,0,0,1,0,156
60,8.86974129020052,2943,4,0,0,4,0,1,0,0,0,0,0,0,2422
61,9.032578441817282,2943,4,0,0,3,0,2,0,0,0,0,0,0,1751
62,9.162796861511758,2943,3,0,1,3,0,2,0,0,0,0,0,0,2179
63,9.281598866434468,2943,3,0,0,3,0,2,0,0,0,1,0,0,2179
64,9.291856650970235,2944,3,0,0,3,0,2,0,0,0,0,0,0,2179
65,9.373832950254782,2944,2,1,0,3,0,2,0,0,0,0,0,0,895
66,9.756495303388588,2943,3,1,0,3,0,2,0,0,0,0,0,0,616
67,9.75798175228706,2943,2,2,0,3,0,2,0,0,0,0,0,0,156
68,9.760503511702384,2943,2,2,0,2,0,2,0,0,0,1,0,0,894
69,9.788887720016207,2942,3,2,0,2,0,2,0,0,0,1,0,0,1617
70,9.870361682380038,2942,3,1,0,2,0,2,0,0,0,2,0,0,895
