,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2960,1,0,0,0,0,0,0,0,0,0,0,0,1538
1,0.18445720071725696,2960,0,0,1,0,0,0,0,0,0,0,0,0,1538
2,1.8743248512405453,2959,1,0,1,0,0,0,0,0,0,0,0,0,2526
3,2.798757933083291,2959,0,1,1,0,0,0,0,0,0,0,0,0,2526
4,2.955683870542349,2959,0,1,0,0,0,0,0,0,0,1,0,0,1538
5,3.373905524534869,2960,0,1,0,0,0,0,0,0,0,0,0,0,1538
6,3.8228765819572192,2960,0,0,0,1,0,0,0,0,0,0,0,0,2526
7,4.893338395136842,2959,1,0,0,1,0,0,0,0,0,0,0,0,1429
8,5.663104473242777,2959,0,1,0,1,0,0,0,0,0,0,0,0,1429
9,6.455098633555417,2958,1,1,0,1,0,0,0,0,0,0,0,0,2685
10,7.215098513601048,2957,2,1,0,1,0,0,0,0,0,0,0,0,1014
11,7.373253129128701,2957,2,0,0,2,0,0,0,0,0,0,0,0,1429
12,7.628578046414685,2957,2,0,0,1,0,1,0,0,0,0,0,0,1429
13,7.901174168538732,2957,1,1,0,1,0,1,0,0,0,0,0,0,1014
14,8.084086367537205,2957,1,0,0,2,0,1,0,0,0,0,0,0,1014
15,8.42678484975919,2957,0,1,0,2,0,1,0,0,0,0,0,0,2685
16,8.514727827027963,2956,1,1,0,2,0,1,0,0,0,0,0,0,765
17,8.529805568150797,2956,0,2,0,2,0,1,0,0,0,0,0,0,765
18,8.672234522059437,2956,0,2,0,2,0,0,0,0,0,0,1,0,1429
19,8.735148545159822,2955,1,2,0,2,0,0,0,0,0,0,1,0,710
20,8.81042894341288,2954,2,2,0,2,0,0,0,0,0,0,1,0,2166
21,8.896618623621727,2954,1,3,0,2,0,0,0,0,0,0,1,0,2166
22,8.9382063326198,2953,2,3,0,2,0,0,0,0,0,0,1,0,1850
23,8.968819151955696,2952,3,3,0,2,0,0,0,0,0,0,1,0,1336
24,9.055185259345576,2953,3,3,0,2,0,0,0,0,0,0,0,0,1429
25,9.111166949780674,2953,3,2,0,3,0,0,0,0,0,0,0,0,765
26,9.315793333900286,2953,2,3,0,3,0,0,0,0,0,0,0,0,1850
27,9.473560549295245,2953,2,2,0,4,0,0,0,0,0,0,0,0,2685
28,9.739264459075324,2953,2,1,0,5,0,0,0,0,0,0,0,0,2166
29,9.751407213042047,2952,3,1,0,5,0,0,0,0,0,0,0,0,1713
30,9.77008908983635,2951,4,1,0,5,0,0,0,0,0,0,0,0,1581
31,9.859667664962911,2951,3,2,0,5,0,0,0,0,0,0,0,0,1336
32,9.974262094281553,2951,3,1,0,5,0,0,0,0,0,1,0,0,1336
33,9.992022826788173,2952,3,1,0,5,0,0,0,0,0,0,0,0,1336
34,9.994641708065506,2952,3,0,0,6,0,0,0,0,0,0,0,0,1850
