,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2960,1,0,0,0,0,0,0,0,0,0,0,0,1188
1,0.47975165296699707,2960,0,0,1,0,0,0,0,0,0,0,0,0,1188
2,0.7163349465908416,2959,1,0,1,0,0,0,0,0,0,0,0,0,1043
3,1.2487315648856927,2959,0,1,1,0,0,0,0,0,0,0,0,0,1043
4,1.323442603430697,2959,0,0,1,1,0,0,0,0,0,0,0,0,1043
5,1.5538743496307292,2958,1,0,1,1,0,0,0,0,0,0,0,0,785
6,1.9607276962253908,2957,2,0,1,1,0,0,0,0,0,0,0,0,1051
7,1.9869997247733173,2957,1,1,1,1,0,0,0,0,0,0,0,0,785
8,2.1568386111856426,2957,1,1,0,1,0,0,0,0,0,1,0,0,1188
9,2.4177995698715486,2958,1,1,0,1,0,0,0,0,0,0,0,0,1188
10,2.898848034441448,2958,0,1,1,1,0,0,0,0,0,0,0,0,1051
11,3.370302114061724,2958,0,0,1,2,0,0,0,0,0,0,0,0,785
12,3.3782049821009803,2957,1,0,1,2,0,0,0,0,0,0,0,0,1517
13,3.6021736104816737,2957,1,0,0,2,1,0,0,0,0,0,0,0,1051
14,3.6490897574039236,2957,1,0,0,2,0,0,1,0,0,0,0,0,1051
15,3.883163421663391,2957,0,1,0,2,0,0,1,0,0,0,0,0,1517
16,4.257314188448544,2956,1,1,0,2,0,0,1,0,0,0,0,0,1759
17,4.365347718577475,2955,2,1,0,2,0,0,1,0,0,0,0,0,269
18,4.56482529335869,2955,2,0,0,3,0,0,1,0,0,0,0,0,1517
19,4.885797231008724,2955,1,1,0,3,0,0,1,0,0,0,0,0,269
20,5.381883523320446,2955,1,1,0,3,0,0,0,0,0,0,1,0,1051
21,5.4697781158308185,2955,1,1,0,2,0,1,0,0,0,0,1,0,1043
22,5.514590199079875,2955,1,1,0,1,0,1,0,0,0,1,1,0,785
23,5.556304006423593,2954,2,1,0,1,0,1,0,0,0,1,1,0,2503
24,5.71173587254857,2954,1,2,0,1,0,1,0,0,0,1,1,0,1759
25,5.732609531539132,2953,2,2,0,1,0,1,0,0,0,1,1,0,1760
26,5.883562162871092,2954,2,2,0,1,0,1,0,0,0,1,0,0,1051
27,5.889386636809914,2954,1,2,1,1,0,1,0,0,0,1,0,0,1760
28,6.219754054876626,2954,1,2,1,1,0,0,0,1,0,1,0,0,1043
29,6.231711409091058,2954,1,1,1,2,0,0,0,1,0,1,0,0,269
30,6.442036810606739,2953,2,1,1,2,0,0,0,1,0,1,0,0,350
31,6.511037904977387,2953,2,1,0,2,0,0,0,1,0,2,0,0,1760
32,6.5714275086794345,2954,2,1,0,2,0,0,0,1,0,1,0,0,785
33,6.9783858423291365,2955,2,1,0,2,0,0,0,1,0,0,0,0,1760
34,7.504664236284618,2955,2,0,0,2,0,0,0,1,0,1,0,0,1759
35,7.695938697465451,2956,2,0,0,2,0,0,0,1,0,0,0,0,1759
36,7.936767805732175,2955,3,0,0,2,0,0,0,1,0,0,0,0,1503
37,8.144939874115753,2955,2,1,0,2,0,0,0,1,0,0,0,0,2503
38,8.171996127602055,2955,1,1,1,2,0,0,0,1,0,0,0,0,350
39,8.274150513124484,2955,1,1,0,2,0,0,0,1,0,1,0,0,350
40,8.34265971603678,2956,1,1,0,2,0,0,0,1,0,0,0,0,350
41,8.368047642655545,2956,1,1,0,1,0,1,0,1,0,0,0,0,269
42,8.371256226730027,2956,1,1,0,1,0,0,0,1,0,0,1,0,269
43,8.37350130283467,2957,1,1,0,1,0,0,0,1,0,0,0,0,269
44,8.778055308241573,2956,2,1,0,1,0,0,0,1,0,0,0,0,38
45,8.913899950615955,2956,1,2,0,1,0,0,0,1,0,0,0,0,1503
46,9.06470230091526,2956,0,3,0,1,0,0,0,1,0,0,0,0,38
47,9.121727341887828,2956,0,3,0,0,0,0,0,1,0,1,0,0,1517
48,9.218413141450034,2957,0,3,0,0,0,0,0,1,0,0,0,0,1517
49,9.250805078261292,2957,0,2,0,1,0,0,0,1,0,0,0,0,2503
50,9.297660858960452,2957,0,2,0,0,0,1,0,1,0,0,0,0,2503
51,9.794014331990102,2957,0,1,0,1,0,1,0,1,0,0,0,0,1503
52,9.803164087840909,2956,1,1,0,1,0,1,0,1,0,0,0,0,1519
