,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,157
1,1.3253957106472303,2951,0,0,1,0,0,0,0,0,0,0,0,0,157
2,1.8492336144722983,2950,1,0,1,0,0,0,0,0,0,0,0,0,1114
3,1.908171721132063,2950,1,0,0,0,1,0,0,0,0,0,0,0,157
4,2.012095007410254,2950,0,0,1,0,1,0,0,0,0,0,0,0,1114
5,2.0258826274742963,2949,1,0,1,0,1,0,0,0,0,0,0,0,2246
6,2.2553156547530047,2949,0,1,1,0,1,0,0,0,0,0,0,0,2246
7,2.750426952996656,2949,0,1,0,0,2,0,0,0,0,0,0,0,1114
8,2.864686272584698,2949,0,0,0,1,2,0,0,0,0,0,0,0,2246
9,2.932200171902875,2948,1,0,0,1,2,0,0,0,0,0,0,0,1395
10,2.979075437149516,2948,0,1,0,1,2,0,0,0,0,0,0,0,1395
11,3.224096244242844,2948,0,1,0,1,1,0,0,0,0,1,0,0,157
12,3.35312555922944,2949,0,1,0,1,1,0,0,0,0,0,0,0,157
13,4.354527642671137,2949,0,0,0,2,1,0,0,0,0,0,0,0,1395
14,5.130258322041323,2948,1,0,0,2,1,0,0,0,0,0,0,0,1328
15,5.145556825843836,2948,0,1,0,2,1,0,0,0,0,0,0,0,1328
16,5.185234761636899,2947,1,1,0,2,1,0,0,0,0,0,0,0,612
17,5.211150982378001,2946,2,1,0,2,1,0,0,0,0,0,0,0,74
18,5.309336585106956,2946,1,1,1,2,1,0,0,0,0,0,0,0,612
19,5.369073920399054,2946,1,1,1,2,0,0,0,0,0,1,0,0,1114
20,5.51437286216606,2947,1,1,1,2,0,0,0,0,0,0,0,0,1114
21,5.546786009825886,2946,2,1,1,2,0,0,0,0,0,0,0,0,1114
22,5.560375713741185,2946,1,1,2,2,0,0,0,0,0,0,0,0,1114
23,5.670947267525488,2946,1,1,1,2,1,0,0,0,0,0,0,0,612
24,5.693761708203782,2945,2,1,1,2,1,0,0,0,0,0,0,0,187
25,5.865184402174844,2945,2,1,1,1,1,0,0,0,0,1,0,0,2246
26,5.888533605853296,2944,3,1,1,1,1,0,0,0,0,1,0,0,65
27,5.923227556614659,2944,3,0,1,2,1,0,0,0,0,1,0,0,1328
28,5.953896324066037,2943,4,0,1,2,1,0,0,0,0,1,0,0,79
29,6.152419858147251,2943,3,1,1,2,1,0,0,0,0,1,0,0,74
30,6.1725129681756625,2942,4,1,1,2,1,0,0,0,0,1,0,0,217
31,6.206648890478493,2943,4,1,1,2,1,0,0,0,0,0,0,0,2246
32,6.250434345521053,2943,3,1,2,2,1,0,0,0,0,0,0,0,217
33,6.389691412559125,2942,4,1,2,2,1,0,0,0,0,0,0,0,1843
34,6.504950008432778,2941,5,1,2,2,1,0,0,0,0,0,0,0,340
35,6.626473824799896,2941,4,2,2,2,1,0,0,0,0,0,0,0,79
36,6.688042335433068,2940,5,2,2,2,1,0,0,0,0,0,0,0,44
37,6.705167122486458,2939,6,2,2,2,1,0,0,0,0,0,0,0,157
38,6.717351494723134,2938,7,2,2,2,1,0,0,0,0,0,0,0,1401
39,6.723977862965602,2938,7,2,2,2,0,0,1,0,0,0,0,0,612
40,6.771603033487454,2938,7,1,2,3,0,0,1,0,0,0,0,0,79
41,6.799704155917229,2937,8,1,2,3,0,0,1,0,0,0,0,0,1118
42,6.802771652640578,2937,7,1,3,3,0,0,1,0,0,0,0,0,1843
43,6.865693425540821,2937,6,1,4,3,0,0,1,0,0,0,0,0,65
44,6.894857085365997,2936,7,1,4,3,0,0,1,0,0,0,0,0,212
45,6.897563501979446,2936,6,1,5,3,0,0,1,0,0,0,0,0,1118
46,6.921565770469545,2935,7,1,5,3,0,0,1,0,0,0,0,0,1798
47,7.037282541333954,2935,6,1,6,3,0,0,1,0,0,0,0,0,44
48,7.044587702625186,2935,5,2,6,3,0,0,1,0,0,0,0,0,1798
49,7.082184489856741,2935,5,2,5,3,0,0,1,0,0,1,0,0,65
50,7.101779289714826,2934,6,2,5,3,0,0,1,0,0,1,0,0,630
51,7.115311423896427,2934,5,3,5,3,0,0,1,0,0,1,0,0,212
52,7.120751409936273,2933,6,3,5,3,0,0,1,0,0,1,0,0,7
53,7.136110376012209,2933,6,3,4,3,1,0,1,0,0,1,0,0,217
54,7.136987883746268,2932,7,3,4,3,1,0,1,0,0,1,0,0,1727
55,7.15167447762947,2932,6,4,4,3,1,0,1,0,0,1,0,0,1727
56,7.177753550607772,2932,5,4,5,3,1,0,1,0,0,1,0,0,157
57,7.189905053583114,2931,6,4,5,3,1,0,1,0,0,1,0,0,2358
58,7.194727372898252,2931,6,4,4,3,2,0,1,0,0,1,0,0,44
59,7.211352953285051,2931,6,4,4,3,1,0,1,0,0,2,0,0,44
60,7.223667266136388,2932,6,4,4,3,1,0,1,0,0,1,0,0,44
61,7.351992719211346,2932,6,4,3,3,2,0,1,0,0,1,0,0,1843
62,7.378269574394232,2931,7,4,3,3,2,0,1,0,0,1,0,0,2802
63,7.397012600690442,2931,7,4,2,3,3,0,1,0,0,1,0,0,1114
64,7.496861310728464,2931,6,5,2,3,3,0,1,0,0,1,0,0,2802
65,7.544886660951012,2930,7,5,2,3,3,0,1,0,0,1,0,0,1814
66,7.558081636246408,2931,7,5,2,3,3,0,1,0,0,0,0,0,65
67,7.5797096932147126,2931,7,5,2,3,3,0,0,0,0,0,1,0,612
68,7.602323410528578,2931,7,5,1,3,4,0,0,0,0,0,1,0,157
69,7.609633987566271,2931,7,5,1,2,4,1,0,0,0,0,1,0,1328
70,7.614192918692564,2930,8,5,1,2,4,1,0,0,0,0,1,0,1848
71,7.619400479430063,2930,7,5,2,2,4,1,0,0,0,0,1,0,340
72,7.633112683227859,2930,6,6,2,2,4,1,0,0,0,0,1,0,187
73,7.63607040648058,2929,7,6,2,2,4,1,0,0,0,0,1,0,47
74,7.642545327923983,2928,8,6,2,2,4,1,0,0,0,0,1,0,1258
