,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,986
1,0.3766789701585163,2951,0,0,1,0,0,0,0,0,0,0,0,0,986
2,1.8911591694132253,2951,0,0,0,0,1,0,0,0,0,0,0,0,986
3,2.349265944127905,2950,1,0,0,0,1,0,0,0,0,0,0,0,306
4,2.470657146160666,2949,2,0,0,0,1,0,0,0,0,0,0,0,308
5,2.5066860655347427,2949,1,1,0,0,1,0,0,0,0,0,0,0,306
6,2.648966300435386,2949,1,1,0,0,0,0,1,0,0,0,0,0,986
7,3.4430588023844213,2948,2,1,0,0,0,0,1,0,0,0,0,0,1928
8,3.7972734057157105,2948,2,0,0,1,0,0,1,0,0,0,0,0,306
9,4.082640185825832,2948,2,0,0,0,0,1,1,0,0,0,0,0,306
10,4.09920761165558,2948,2,0,0,0,0,1,0,0,0,0,1,0,986
11,4.328897275623137,2949,2,0,0,0,0,1,0,0,0,0,0,0,986
12,4.800672419440295,2949,1,0,1,0,0,1,0,0,0,0,0,0,1928
13,5.329037276597141,2949,1,0,0,0,0,1,0,0,0,1,0,0,1928
14,5.349724838060448,2950,1,0,0,0,0,1,0,0,0,0,0,0,1928
15,5.718985238081937,2950,0,1,0,0,0,1,0,0,0,0,0,0,308
16,5.886028854962641,2949,1,1,0,0,0,1,0,0,0,0,0,0,986
17,6.3059372859146485,2949,1,0,0,1,0,1,0,0,0,0,0,0,308
18,6.7611925400668555,2948,2,0,0,1,0,1,0,0,0,0,0,0,354
19,6.926429511245436,2947,3,0,0,1,0,1,0,0,0,0,0,0,279
20,7.012443746108616,2947,2,0,1,1,0,1,0,0,0,0,0,0,986
21,7.0294138370052135,2947,1,1,1,1,0,1,0,0,0,0,0,0,354
22,7.053660631303969,2947,1,1,1,0,0,1,0,0,0,1,0,0,308
23,7.0548155075388195,2948,1,1,1,0,0,1,0,0,0,0,0,0,308
24,7.340990736789311,2947,2,1,1,0,0,1,0,0,0,0,0,0,1550
25,7.7449168596773665,2946,3,1,1,0,0,1,0,0,0,0,0,0,1199
26,7.749541972088097,2946,3,0,1,1,0,1,0,0,0,0,0,0,354
27,7.978053464498946,2945,4,0,1,1,0,1,0,0,0,0,0,0,325
28,8.018445240136648,2944,5,0,1,1,0,1,0,0,0,0,0,0,1843
29,8.098262562501542,2944,4,0,2,1,0,1,0,0,0,0,0,0,1843
30,8.212031744402553,2944,3,1,2,1,0,1,0,0,0,0,0,0,325
31,8.249842616987968,2944,3,0,2,1,0,1,0,0,0,1,0,0,325
32,8.55417639844019,2944,3,0,1,1,0,1,0,0,0,2,0,0,986
33,8.836143209534358,2945,3,0,1,1,0,1,0,0,0,1,0,0,986
34,8.937131718033928,2945,2,1,1,1,0,1,0,0,0,1,0,0,1550
35,9.29851511343199,2945,1,1,2,1,0,1,0,0,0,1,0,0,1199
36,9.308516875592874,2945,1,1,1,1,0,1,0,0,0,2,0,0,1199
37,9.30936713730783,2944,2,1,1,1,0,1,0,0,0,2,0,0,1100
38,9.433616869159472,2945,2,1,1,1,0,1,0,0,0,1,0,0,1199
39,9.537092907462574,2945,2,1,0,1,0,1,0,0,0,2,0,0,1843
40,9.565946239494382,2944,3,1,0,1,0,1,0,0,0,2,0,0,318
41,9.618977141055446,2945,3,1,0,1,0,1,0,0,0,1,0,0,325
42,9.669673952529884,2945,2,1,1,1,0,1,0,0,0,1,0,0,279
43,9.725132308125913,2946,2,1,1,1,0,1,0,0,0,0,0,0,1843
44,9.846638249361565,2945,3,1,1,1,0,1,0,0,0,0,0,0,873
45,9.937421037382384,2944,4,1,1,1,0,1,0,0,0,0,0,0,362
