,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,1646
1,1.4414411383975967,2951,0,0,1,0,0,0,0,0,0,0,0,0,1646
2,1.995215345630024,2950,1,0,1,0,0,0,0,0,0,0,0,0,253
3,2.5122601085300738,2950,0,0,2,0,0,0,0,0,0,0,0,0,253
4,2.725022846862884,2950,0,0,1,0,0,0,0,0,0,1,0,0,1646
5,3.120422896189588,2951,0,0,1,0,0,0,0,0,0,0,0,0,1646
6,3.282581068810626,2950,1,0,1,0,0,0,0,0,0,0,0,0,578
7,3.779065641743115,2950,0,1,1,0,0,0,0,0,0,0,0,0,578
8,4.036808453886341,2949,1,1,1,0,0,0,0,0,0,0,0,0,592
9,4.2034006324535875,2949,0,2,1,0,0,0,0,0,0,0,0,0,592
10,4.430847967268908,2949,0,1,1,1,0,0,0,0,0,0,0,0,578
11,4.4353627327494785,2949,0,0,1,2,0,0,0,0,0,0,0,0,592
12,4.7527763797669955,2948,1,0,1,2,0,0,0,0,0,0,0,0,1062
13,4.797301298518744,2948,0,1,1,2,0,0,0,0,0,0,0,0,1062
14,4.82277525360027,2948,0,1,1,1,0,1,0,0,0,0,0,0,578
15,5.015259915762746,2947,1,1,1,1,0,1,0,0,0,0,0,0,1618
16,5.361193295492462,2946,2,1,1,1,0,1,0,0,0,0,0,0,199
17,5.463632768342677,2946,2,1,0,1,1,1,0,0,0,0,0,0,253
18,5.499577161682137,2946,2,1,0,1,1,0,0,0,0,0,1,0,578
19,5.6199717049853755,2945,3,1,0,1,1,0,0,0,0,0,1,0,902
20,5.807297111987931,2946,3,1,0,1,1,0,0,0,0,0,0,0,578
21,5.967741091540476,2946,3,1,0,1,0,0,0,0,0,1,0,0,253
22,6.130106634452917,2947,3,1,0,1,0,0,0,0,0,0,0,0,253
23,6.56952574749396,2947,2,2,0,1,0,0,0,0,0,0,0,0,1618
24,6.684344198277836,2946,3,2,0,1,0,0,0,0,0,0,0,0,191
25,6.993095115462401,2945,4,2,0,1,0,0,0,0,0,0,0,0,2029
26,7.181613667325026,2945,3,2,1,1,0,0,0,0,0,0,0,0,199
27,7.224350703109318,2945,3,1,1,2,0,0,0,0,0,0,0,0,1618
28,7.265245098472905,2944,4,1,1,2,0,0,0,0,0,0,0,0,2044
29,7.286935214099968,2944,3,2,1,2,0,0,0,0,0,0,0,0,902
30,7.386552832217662,2943,4,2,1,2,0,0,0,0,0,0,0,0,406
31,7.565593684982923,2943,4,1,1,2,0,0,0,0,0,1,0,0,1062
32,7.571672581415466,2944,4,1,1,2,0,0,0,0,0,0,0,0,1062
33,7.654063412519239,2944,3,2,1,2,0,0,0,0,0,0,0,0,406
34,7.763124204969408,2944,3,1,1,3,0,0,0,0,0,0,0,0,902
35,7.922168748924745,2944,2,2,1,3,0,0,0,0,0,0,0,0,2044
36,8.000372964330735,2943,3,2,1,3,0,0,0,0,0,0,0,0,1062
37,8.094779233137482,2943,3,2,1,2,0,0,0,0,0,1,0,0,1618
38,8.146047991782511,2943,2,2,2,2,0,0,0,0,0,1,0,0,191
39,8.15894275525829,2943,2,2,1,2,1,0,0,0,0,1,0,0,191
40,8.163322936062594,2944,2,2,1,2,1,0,0,0,0,0,0,0,1618
41,8.187675242904259,2943,3,2,1,2,1,0,0,0,0,0,0,0,41
42,8.314975425939272,2943,2,3,1,2,1,0,0,0,0,0,0,0,2029
43,8.32466009207734,2943,1,4,1,2,1,0,0,0,0,0,0,0,41
44,8.330147734118235,2942,2,4,1,2,1,0,0,0,0,0,0,0,2575
45,8.347318269845907,2942,2,3,1,3,1,0,0,0,0,0,0,0,2044
46,8.371352418101907,2942,2,3,0,3,1,0,0,0,0,1,0,0,199
47,8.404021315718419,2941,3,3,0,3,1,0,0,0,0,1,0,0,238
48,8.510481982088567,2941,2,4,0,3,1,0,0,0,0,1,0,0,2575
49,8.569738006134262,2941,2,3,0,4,1,0,0,0,0,1,0,0,2029
50,8.655809894450206,2941,2,2,0,5,1,0,0,0,0,1,0,0,406
51,8.796373936692948,2942,2,2,0,5,1,0,0,0,0,0,0,0,199
52,8.91904263264977,2941,3,2,0,5,1,0,0,0,0,0,0,0,1800
53,8.942472847623861,2940,4,2,0,5,1,0,0,0,0,0,0,0,1910
54,8.999212475397476,2940,4,2,0,5,0,0,0,0,0,1,0,0,191
