,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2960,1,0,0,0,0,0,0,0,0,0,0,0,2295
1,2.8317731801542725,2960,0,0,1,0,0,0,0,0,0,0,0,0,2295
2,3.8379795841582247,2959,1,0,1,0,0,0,0,0,0,0,0,0,2181
3,3.9518075974413813,2959,0,1,1,0,0,0,0,0,0,0,0,0,2181
4,4.045750531019654,2958,1,1,1,0,0,0,0,0,0,0,0,0,1266
5,4.117538032616729,2958,1,0,1,1,0,0,0,0,0,0,0,0,2181
6,4.186494688099824,2958,1,0,0,1,0,0,0,0,0,1,0,0,2295
7,4.226489145967016,2959,1,0,0,1,0,0,0,0,0,0,0,0,2295
8,5.669465069933517,2959,1,0,0,0,0,0,0,0,0,1,0,0,2181
9,6.262202419533928,2960,1,0,0,0,0,0,0,0,0,0,0,0,2181
10,6.346938046924478,2960,0,1,0,0,0,0,0,0,0,0,0,0,1266
11,6.406234432871267,2960,0,0,0,0,0,0,0,0,0,1,0,0,1266
