,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,157
1,1.12807435791396,2951,0,0,1,0,0,0,0,0,0,0,0,0,157
2,1.8123568328298978,2951,0,0,0,0,1,0,0,0,0,0,0,0,157
3,2.0200482259059607,2950,1,0,0,0,1,0,0,0,0,0,0,0,1895
4,2.0810319273897644,2950,0,1,0,0,1,0,0,0,0,0,0,0,1895
5,2.128174316247113,2950,0,1,0,0,0,0,0,0,0,1,0,0,157
6,2.278764181892718,2951,0,1,0,0,0,0,0,0,0,0,0,0,157
7,2.31631881603237,2951,0,0,0,1,0,0,0,0,0,0,0,0,1895
8,6.143407936494283,2950,1,0,0,1,0,0,0,0,0,0,0,0,2206
9,6.391107010778554,2950,1,0,0,0,0,1,0,0,0,0,0,0,1895
10,6.5825602013918445,2950,0,1,0,0,0,1,0,0,0,0,0,0,2206
11,7.049753940263195,2950,0,0,0,1,0,1,0,0,0,0,0,0,2206
12,7.293605739915564,2950,0,0,0,0,0,2,0,0,0,0,0,0,2206
