,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,986
1,0.20655211945389115,2951,0,0,1,0,0,0,0,0,0,0,0,0,986
2,0.5308045694561077,2951,0,0,0,0,1,0,0,0,0,0,0,0,986
3,1.048529901092646,2950,1,0,0,0,1,0,0,0,0,0,0,0,1550
4,1.2854984264179714,2950,1,0,0,0,0,0,0,0,0,1,0,0,986
5,1.313656042253961,2951,1,0,0,0,0,0,0,0,0,0,0,0,986
6,1.4792316456006658,2951,0,1,0,0,0,0,0,0,0,0,0,0,1550
7,2.5382573130845834,2950,1,1,0,0,0,0,0,0,0,0,0,0,362
8,2.6334727515223646,2949,2,1,0,0,0,0,0,0,0,0,0,0,1470
9,2.6644792703124525,2949,2,0,0,1,0,0,0,0,0,0,0,0,1550
10,2.7203592380775428,2949,1,0,1,1,0,0,0,0,0,0,0,0,1470
11,3.2323700455846516,2948,2,0,1,1,0,0,0,0,0,0,0,0,457
12,3.4088777660625063,2948,2,0,0,1,1,0,0,0,0,0,0,0,1470
13,3.696223156579529,2948,1,1,0,1,1,0,0,0,0,0,0,0,362
14,3.743128311799828,2948,0,2,0,1,1,0,0,0,0,0,0,0,457
15,3.9139391553965943,2947,1,2,0,1,1,0,0,0,0,0,0,0,266
16,3.945305694475855,2947,0,2,1,1,1,0,0,0,0,0,0,0,266
17,4.039719051628094,2947,0,2,1,1,0,0,0,0,0,1,0,0,1470
18,4.047402501169137,2947,0,1,1,1,0,0,0,0,0,2,0,0,457
19,4.105498111264497,2948,0,1,1,1,0,0,0,0,0,1,0,0,1470
20,4.135608786880624,2949,0,1,1,1,0,0,0,0,0,0,0,0,457
21,4.189636819737648,2949,0,1,0,1,0,0,0,0,0,1,0,0,266
22,4.294449615202883,2950,0,1,0,1,0,0,0,0,0,0,0,0,266
23,4.628482794438089,2949,1,1,0,1,0,0,0,0,0,0,0,0,110
24,4.964145184473918,2949,1,1,0,0,0,0,0,0,0,1,0,0,1550
25,5.018884715825031,2950,1,1,0,0,0,0,0,0,0,0,0,0,1550
26,5.145898666259831,2950,0,1,1,0,0,0,0,0,0,0,0,0,110
27,5.172105067744135,2950,0,0,1,1,0,0,0,0,0,0,0,0,362
28,5.301114462330998,2950,0,0,0,1,0,0,0,0,0,1,0,0,110
29,5.383138852891663,2951,0,0,0,1,0,0,0,0,0,0,0,0,110
30,5.960488216282647,2950,1,0,0,1,0,0,0,0,0,0,0,0,2760
31,6.200823674379609,2950,0,1,0,1,0,0,0,0,0,0,0,0,2760
32,6.800784385201082,2950,0,0,0,1,0,0,0,0,0,1,0,0,2760
33,6.918359827040181,2951,0,0,0,1,0,0,0,0,0,0,0,0,2760
34,8.477469594575542,2950,1,0,0,1,0,0,0,0,0,0,0,0,1711
35,8.815431083847526,2949,2,0,0,1,0,0,0,0,0,0,0,0,264
36,9.083925279399853,2948,3,0,0,1,0,0,0,0,0,0,0,0,444
37,9.35783253852762,2948,2,0,1,1,0,0,0,0,0,0,0,0,444
38,9.56478519627097,2948,2,0,0,1,1,0,0,0,0,0,0,0,444
