,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,157
1,0.2553966834701105,2951,0,0,1,0,0,0,0,0,0,0,0,0,157
2,1.513305876018928,2950,1,0,1,0,0,0,0,0,0,0,0,0,61
3,1.645858540252764,2949,2,0,1,0,0,0,0,0,0,0,0,0,203
4,1.809290126551475,2949,1,1,1,0,0,0,0,0,0,0,0,0,203
5,2.1262274980635976,2949,1,0,1,1,0,0,0,0,0,0,0,0,203
6,2.136267541429959,2949,1,0,0,1,1,0,0,0,0,0,0,0,157
7,2.278007959524868,2949,0,1,0,1,1,0,0,0,0,0,0,0,61
8,2.3885282458741743,2948,1,1,0,1,1,0,0,0,0,0,0,0,34
9,2.3953735712706066,2948,0,2,0,1,1,0,0,0,0,0,0,0,34
10,2.5928479660709587,2948,0,2,0,1,0,0,0,0,0,1,0,0,157
11,2.7694022471994413,2949,0,2,0,1,0,0,0,0,0,0,0,0,157
12,2.986378954821914,2948,1,2,0,1,0,0,0,0,0,0,0,0,3
13,3.09264681867551,2948,1,2,0,0,0,0,0,0,0,1,0,0,203
14,3.1179733040639213,2948,0,2,1,0,0,0,0,0,0,1,0,0,3
15,3.139716521864279,2948,0,2,0,0,0,0,0,0,0,2,0,0,3
16,3.236513087986995,2949,0,2,0,0,0,0,0,0,0,1,0,0,3
17,3.3249073936737363,2950,0,2,0,0,0,0,0,0,0,0,0,0,203
18,3.6235218471749064,2949,1,2,0,0,0,0,0,0,0,0,0,0,641
19,4.167943644014,2949,0,2,1,0,0,0,0,0,0,0,0,0,641
20,4.35155724391499,2949,0,1,1,1,0,0,0,0,0,0,0,0,34
21,4.364692950351054,2948,1,1,1,1,0,0,0,0,0,0,0,0,1785
22,4.542779099893092,2948,1,0,1,1,0,0,0,0,0,1,0,0,61
23,4.545236887229688,2948,1,0,0,1,0,0,0,0,0,2,0,0,641
24,4.844981708495226,2949,1,0,0,1,0,0,0,0,0,1,0,0,61
25,4.893748056468148,2948,2,0,0,1,0,0,0,0,0,1,0,0,713
26,4.9994608612979645,2949,2,0,0,1,0,0,0,0,0,0,0,0,641
27,5.2766897824550165,2949,1,0,1,1,0,0,0,0,0,0,0,0,1785
28,5.331891332177219,2948,2,0,1,1,0,0,0,0,0,0,0,0,31
29,5.358209961856574,2948,1,1,1,1,0,0,0,0,0,0,0,0,31
30,5.643823682164689,2948,1,0,1,2,0,0,0,0,0,0,0,0,31
31,5.864202207557271,2947,2,0,1,2,0,0,0,0,0,0,0,0,61
32,6.011785668167102,2947,2,0,1,1,0,1,0,0,0,0,0,0,31
33,6.045062713156199,2947,1,1,1,1,0,1,0,0,0,0,0,0,61
34,6.259121479800289,2947,1,1,1,0,0,2,0,0,0,0,0,0,34
35,6.438446318082061,2946,2,1,1,0,0,2,0,0,0,0,0,0,2321
36,6.565386959396148,2946,1,2,1,0,0,2,0,0,0,0,0,0,2321
37,6.655070402465215,2946,1,2,0,0,1,2,0,0,0,0,0,0,1785
38,6.682987194427902,2946,0,3,0,0,1,2,0,0,0,0,0,0,713
39,6.714864722221146,2946,0,3,0,0,0,2,0,0,0,1,0,0,1785
40,6.915238702016345,2945,1,3,0,0,0,2,0,0,0,1,0,0,1137
41,6.940566481790136,2945,1,2,0,1,0,2,0,0,0,1,0,0,713
42,7.193534963374076,2946,1,2,0,1,0,2,0,0,0,0,0,0,1785
43,7.22384400028163,2946,1,1,0,2,0,2,0,0,0,0,0,0,2321
44,7.440825444119862,2946,1,1,0,2,0,1,0,1,0,0,0,0,31
45,7.548117920824895,2946,1,1,0,2,0,1,0,0,0,0,0,1,31
46,7.75041239246876,2945,2,1,0,2,0,1,0,0,0,0,0,1,1443
47,7.758093990866841,2945,1,2,0,2,0,1,0,0,0,0,0,1,1137
48,7.829461514494824,2945,1,1,0,3,0,1,0,0,0,0,0,1,1137
49,7.8660865311122015,2944,2,1,0,3,0,1,0,0,0,0,0,1,1159
50,7.884283467352733,2944,1,2,0,3,0,1,0,0,0,0,0,1,1159
51,7.888625360609177,2943,2,2,0,3,0,1,0,0,0,0,0,1,780
52,7.893837228576653,2943,2,2,0,2,0,1,0,0,0,1,0,1,1137
53,8.00488434441385,2942,3,2,0,2,0,1,0,0,0,1,0,1,40
54,8.062292016701551,2941,4,2,0,2,0,1,0,0,0,1,0,1,1492
55,8.091695122161957,2942,4,2,0,2,0,1,0,0,0,0,0,1,1137
56,8.101765231128997,2942,4,1,0,3,0,1,0,0,0,0,0,1,61
57,8.123688271527463,2942,3,2,0,3,0,1,0,0,0,0,0,1,780
58,8.15723874998131,2942,3,1,0,4,0,1,0,0,0,0,0,1,780
59,8.231121034290885,2942,2,1,1,4,0,1,0,0,0,0,0,1,1443
60,8.504481850494791,2942,2,1,0,4,1,1,0,0,0,0,0,1,1443
61,8.547224811266455,2942,2,1,0,3,1,2,0,0,0,0,0,1,713
62,8.595593473081458,2942,2,0,0,4,1,2,0,0,0,0,0,1,1159
63,8.738753365318738,2942,2,0,0,3,1,2,0,0,0,1,0,1,780
64,8.797495859745089,2941,3,0,0,3,1,2,0,0,0,1,0,1,2347
65,8.824336424217876,2941,2,1,0,3,1,2,0,0,0,1,0,1,40
66,8.838222138294743,2942,2,1,0,3,1,2,0,0,0,0,0,1,780
67,8.842989644082074,2942,2,1,0,2,1,3,0,0,0,0,0,1,61
68,8.878250566456801,2942,1,2,0,2,1,3,0,0,0,0,0,1,2347
69,9.233255670129736,2942,1,2,0,1,1,3,0,0,0,1,0,1,2321
70,9.714909268845174,2943,1,2,0,1,1,3,0,0,0,0,0,1,2321
71,9.961271135427,2943,1,1,0,2,1,3,0,0,0,0,0,1,40
