"","node","n_large","X","treat","degree","size_comm_tr","size_comm_no_tr","old_label","type_comm_tr","type_comm_no_tr","net"
"1",711,10,710,"Tr",27,2478,2577,1096,"large","large",1
"2",110,4,109,"Tr",7,2522,2604,713,"large","large",2
