"","X","Unnamed..0","node","ethcat","agecat","treat","Trade_sex","Group_sex","degree","age.gp1","age.gp2","age.gp3","age.gp4","black","white","other","Tr","NoTr","Trade","NoTrade","Group","NoGroup","net"
"1",0,1,1,"black","age.gp3","NoTr","Trade","NoGroup",6,0,3,2,1,1,5,0,2,4,1,5,4,2,1
"2",970,971,971,"white","age.gp2","Tr","NoTrade","Group",26,1,13,8,4,4,20,2,6,20,6,20,16,10,1
"3",2411,2412,2412,"white","age.gp3","NoTr","Trade","Group",12,4,3,3,2,3,8,1,6,6,3,9,4,8,1
"4",2694,2695,2695,"white","age.gp4","NoTr","NoTrade","Group",14,0,1,5,8,2,12,0,6,8,1,13,8,6,1
"5",2729,2730,2730,"black","age.gp3","NoTr","NoTrade","NoGroup",8,1,4,1,2,7,0,1,0,8,1,7,2,6,1
"6",2840,2841,2841,"white","age.gp2","Tr","NoTrade","Group",31,3,15,6,7,4,24,3,6,25,4,27,15,16,1
"7",2964,2965,2965,"white","age.gp2","NoTr","NoTrade","NoGroup",12,0,5,4,3,2,9,1,5,7,1,11,7,5,1
"8",1,2,2,"black","age.gp3","NoTr","Trade","NoGroup",8,0,4,2,2,4,2,2,3,5,2,6,4,4,1
"9",212,213,213,"other","age.gp2","Tr","NoTrade","NoGroup",3,2,0,1,0,1,2,0,1,2,1,2,0,3,1
"10",223,224,224,"black","age.gp2","NoTr","NoTrade","NoGroup",9,1,4,2,2,5,4,0,1,8,2,7,6,3,1
"11",2212,2213,2213,"black","age.gp4","NoTr","Trade","Group",8,0,3,2,3,5,3,0,3,5,1,7,4,4,1
"12",2217,2218,2218,"black","age.gp4","NoTr","Trade","Group",9,0,2,2,5,5,4,0,2,7,3,6,6,3,1
"13",2288,2289,2289,"other","age.gp2","Tr","NoTrade","Group",12,2,4,5,1,3,9,0,4,8,2,10,6,6,1
"14",2363,2364,2364,"white","age.gp3","Tr","NoTrade","NoGroup",8,1,4,3,0,3,4,1,2,6,3,5,4,4,1
"15",2658,2659,2659,"white","age.gp2","NoTr","NoTrade","Group",29,1,15,7,6,5,22,2,11,18,1,28,15,14,1
"16",2690,2691,2691,"black","age.gp3","NoTr","NoTrade","NoGroup",3,1,0,1,1,2,1,0,0,3,1,2,1,2,1
"17",2,3,3,"black","age.gp3","NoTr","Trade","NoGroup",9,0,3,2,4,5,4,0,3,6,1,8,3,6,1
"18",17,18,18,"black","age.gp2","Tr","NoTrade","Group",17,2,5,6,4,9,5,3,4,13,2,15,10,7,1
"19",239,240,240,"white","age.gp2","Tr","NoTrade","Group",20,2,10,4,4,4,11,5,7,13,3,17,10,10,1
"20",517,518,518,"black","age.gp3","NoTr","NoTrade","NoGroup",8,2,1,3,2,7,1,0,2,6,1,7,2,6,1
"21",1270,1271,1271,"black","age.gp3","NoTr","NoTrade","NoGroup",5,0,0,2,3,3,2,0,1,4,2,3,2,3,1
"22",1482,1483,1483,"white","age.gp4","NoTr","NoTrade","NoGroup",4,0,1,3,0,1,3,0,1,3,1,3,1,3,1
"23",1528,1529,1529,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,0,1,4,3,2,0,0,5,1,4,3,2,1
"24",1696,1697,1697,"white","age.gp4","NoTr","Trade","NoGroup",9,0,2,3,4,1,7,1,4,5,1,8,4,5,1
"25",2269,2270,2270,"white","age.gp4","Tr","NoTrade","Group",11,0,3,2,6,1,9,1,3,8,2,9,7,4,1
"26",2836,2837,2837,"black","age.gp2","NoTr","NoTrade","NoGroup",13,0,5,5,3,7,5,1,4,9,1,12,5,8,1
"27",3,4,4,"black","age.gp3","NoTr","Trade","NoGroup",5,0,1,2,2,2,2,1,1,4,0,5,3,2,1
"28",1367,1368,1368,"black","age.gp4","NoTr","NoTrade","Group",5,0,0,2,3,2,3,0,1,4,1,4,3,2,1
"29",2050,2051,2051,"white","age.gp4","Tr","NoTrade","Group",11,2,2,1,6,1,10,0,2,9,1,10,7,4,1
"30",2131,2132,2132,"white","age.gp3","NoTr","NoTrade","Group",18,2,5,7,4,3,14,1,9,9,1,17,9,9,1
"31",2158,2159,2159,"other","age.gp2","NoTr","NoTrade","NoGroup",3,1,1,1,0,2,1,0,0,3,1,2,1,2,1
"32",2685,2686,2686,"black","age.gp3","NoTr","NoTrade","NoGroup",6,0,0,3,3,4,2,0,2,4,2,4,4,2,1
"33",4,5,5,"black","age.gp3","NoTr","Trade","NoGroup",2,0,0,2,0,1,1,0,0,2,0,2,1,1,1
"34",102,103,103,"white","age.gp3","NoTr","NoTrade","Group",20,4,3,9,4,8,12,0,4,16,3,17,9,11,1
"35",457,458,458,"black","age.gp3","NoTr","NoTrade","NoGroup",6,0,0,5,1,4,2,0,0,6,1,5,2,4,1
"36",5,6,6,"black","age.gp3","NoTr","Trade","NoGroup",8,1,5,1,1,3,4,1,3,5,0,8,2,6,1
"37",54,55,55,"black","age.gp2","NoTr","NoTrade","NoGroup",7,1,2,2,2,4,3,0,1,6,1,6,2,5,1
"38",342,343,343,"white","age.gp2","NoTr","NoTrade","Group",18,1,8,7,2,1,15,2,10,8,1,17,11,7,1
"39",1377,1378,1378,"black","age.gp2","NoTr","NoTrade","NoGroup",10,0,4,3,3,8,2,0,2,8,2,8,5,5,1
"40",1723,1724,1724,"white","age.gp1","Tr","NoTrade","NoGroup",12,5,1,4,2,1,9,2,2,10,2,10,5,7,1
"41",1815,1816,1816,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,1,0,0,1,1
"42",2292,2293,2293,"other","age.gp2","Tr","NoTrade","Group",9,1,3,5,0,1,8,0,2,7,2,7,6,3,1
"43",2748,2749,2749,"white","age.gp3","NoTr","NoTrade","NoGroup",8,2,3,3,0,2,6,0,3,5,1,7,4,4,1
"44",2796,2797,2797,"white","age.gp2","Tr","NoTrade","NoGroup",7,2,2,1,2,1,5,1,2,5,1,6,3,4,1
"45",6,7,7,"black","age.gp3","NoTr","Trade","NoGroup",8,0,5,2,1,7,1,0,1,7,0,8,4,4,1
"46",290,291,291,"black","age.gp2","NoTr","NoTrade","Group",19,2,3,7,7,13,6,0,5,14,3,16,8,11,1
"47",398,399,399,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,1,3,2,3,0,1,4,1,4,3,2,1
"48",963,964,964,"black","age.gp2","NoTr","NoTrade","Group",19,3,8,4,4,8,8,3,4,15,5,14,12,7,1
"49",1391,1392,1392,"black","age.gp3","NoTr","NoTrade","NoGroup",8,1,3,3,1,3,4,1,3,5,3,5,5,3,1
"50",1844,1845,1845,"black","age.gp3","NoTr","NoTrade","NoGroup",3,0,0,3,0,2,1,0,0,3,2,1,1,2,1
"51",2163,2164,2164,"white","age.gp2","Tr","NoTrade","NoGroup",20,3,8,6,3,2,16,2,6,14,1,19,8,12,1
"52",2347,2348,2348,"black","age.gp2","NoTr","NoTrade","Group",26,2,15,5,4,12,12,2,8,18,5,21,17,9,1
"53",2605,2606,2606,"black","age.gp2","NoTr","NoTrade","Group",20,1,8,5,6,10,8,2,5,15,2,18,8,12,1
"54",7,8,8,"black","age.gp3","NoTr","Trade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,0,1,1
"55",2731,2732,2732,"black","age.gp3","NoTr","NoTrade","NoGroup",7,0,2,3,2,5,2,0,2,5,1,6,1,6,1
"56",8,9,9,"black","age.gp3","NoTr","Trade","NoGroup",11,0,4,4,3,9,2,0,3,8,1,10,7,4,1
"57",16,17,17,"black","age.gp2","Tr","NoTrade","Group",26,6,10,7,3,16,8,2,8,18,6,20,14,12,1
"58",452,453,453,"black","age.gp3","NoTr","NoTrade","NoGroup",6,0,2,3,1,4,2,0,1,5,1,5,4,2,1
"59",484,485,485,"black","age.gp4","NoTr","NoTrade","NoGroup",6,0,2,2,2,3,2,1,1,5,1,5,2,4,1
"60",1249,1250,1250,"white","age.gp2","Tr","NoTrade","Group",27,1,11,7,8,6,19,2,7,20,1,26,14,13,1
"61",1373,1374,1374,"black","age.gp4","NoTr","NoTrade","Group",13,1,3,5,4,9,3,1,1,12,2,11,4,9,1
"62",1417,1418,1418,"black","age.gp2","NoTr","NoTrade","NoGroup",10,1,5,4,0,6,4,0,3,7,2,8,4,6,1
"63",2075,2076,2076,"black","age.gp3","NoTr","NoTrade","NoGroup",9,0,3,2,4,6,3,0,2,7,1,8,5,4,1
"64",2235,2236,2236,"black","age.gp4","NoTr","Trade","Group",8,0,0,4,4,7,1,0,1,7,2,6,3,5,1
"65",2365,2366,2366,"black","age.gp2","Tr","NoTrade","Group",14,1,8,4,1,8,3,3,2,12,4,10,8,6,1
"66",2594,2595,2595,"white","age.gp3","NoTr","NoTrade","Group",13,3,5,3,2,1,10,2,3,10,3,10,11,2,1
"67",2847,2848,2848,"black","age.gp3","NoTr","NoTrade","Group",13,1,1,6,5,6,7,0,2,11,1,12,7,6,1
"68",9,10,10,"black","age.gp3","NoTr","Trade","NoGroup",4,0,1,2,1,1,3,0,1,3,0,4,3,1,1
"69",81,82,82,"white","age.gp4","NoTr","NoTrade","Group",12,1,3,3,5,2,10,0,4,8,1,11,8,4,1
"70",2366,2367,2367,"black","age.gp2","Tr","NoTrade","Group",18,1,8,5,4,8,10,0,6,12,3,15,10,8,1
"71",2401,2402,2402,"white","age.gp3","NoTr","NoTrade","NoGroup",11,2,1,4,4,1,10,0,5,6,1,10,7,4,1
"72",10,11,11,"black","age.gp3","NoTr","Trade","NoGroup",9,1,1,2,5,7,2,0,3,6,0,9,4,5,1
"73",394,395,395,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,3,1,2,3,0,1,4,1,4,1,4,1
"74",699,700,700,"white","age.gp4","Tr","NoTrade","Group",16,0,1,4,11,2,13,1,6,10,1,15,12,4,1
"75",2002,2003,2003,"black","age.gp4","NoTr","NoTrade","NoGroup",4,0,0,3,1,3,1,0,0,4,2,2,2,2,1
"76",2004,2005,2005,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,2,2,2,3,0,2,3,3,2,3,2,1
"77",2026,2027,2027,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,2,1,2,2,3,0,1,4,1,4,3,2,1
"78",2068,2069,2069,"white","age.gp3","Tr","NoTrade","Group",26,2,11,7,6,2,20,4,11,15,5,21,18,8,1
"79",2459,2460,2460,"black","age.gp1","NoTr","NoTrade","NoGroup",7,4,2,1,0,3,4,0,3,4,3,4,2,5,1
"80",2845,2846,2846,"black","age.gp3","NoTr","NoTrade","Group",10,0,2,6,2,4,5,1,5,5,3,7,6,4,1
"81",11,12,12,"black","age.gp3","NoTr","Trade","NoGroup",3,0,1,1,1,2,1,0,1,2,0,3,2,1,1
"82",446,447,447,"black","age.gp3","NoTr","NoTrade","NoGroup",5,1,1,2,1,3,1,1,0,5,1,4,2,3,1
"83",1369,1370,1370,"black","age.gp4","NoTr","NoTrade","Group",5,0,0,2,3,4,1,0,0,5,3,2,2,3,1
"84",2864,2865,2865,"white","age.gp2","Tr","NoTrade","Group",32,2,16,7,7,3,24,5,9,23,2,30,18,14,1
"85",12,13,13,"black","age.gp3","NoTr","Trade","NoGroup",6,1,2,2,1,4,2,0,1,5,1,5,3,3,1
"86",702,703,703,"white","age.gp2","NoTr","NoTrade","Group",30,3,14,9,4,1,25,4,15,15,2,28,16,14,1
"87",1478,1479,1479,"black","age.gp1","NoTr","NoTrade","NoGroup",5,1,2,1,1,2,2,1,2,3,2,3,4,1,1
"88",1763,1764,1764,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,1,3,3,2,0,2,3,1,4,2,3,1
"89",1843,1844,1844,"black","age.gp3","NoTr","NoTrade","NoGroup",9,1,5,1,2,5,3,1,3,6,1,8,3,6,1
"90",1867,1868,1868,"white","age.gp3","NoTr","NoTrade","Group",22,2,10,5,5,3,16,3,11,11,3,19,17,5,1
"91",2277,2278,2278,"black","age.gp2","Tr","Trade","Group",19,3,8,5,3,12,6,1,4,15,3,16,10,9,1
"92",13,14,14,"black","age.gp3","NoTr","Trade","NoGroup",9,0,2,1,6,3,5,1,1,8,0,9,7,2,1
"93",382,383,383,"black","age.gp4","NoTr","NoTrade","NoGroup",12,1,3,4,4,7,4,1,3,9,5,7,8,4,1
"94",868,869,869,"other","age.gp2","Tr","NoTrade","Group",9,0,4,4,1,1,8,0,4,5,1,8,5,4,1
"95",1060,1061,1061,"white","age.gp4","NoTr","NoTrade","Group",5,0,1,2,2,1,4,0,2,3,1,4,3,2,1
"96",1062,1063,1063,"white","age.gp4","NoTr","NoTrade","Group",11,3,1,2,5,2,8,1,3,8,2,9,6,5,1
"97",1291,1292,1292,"white","age.gp4","NoTr","NoTrade","Group",10,1,3,3,3,4,6,0,5,5,2,8,6,4,1
"98",1326,1327,1327,"white","age.gp3","NoTr","NoTrade","NoGroup",10,1,2,5,2,3,6,1,5,5,1,9,5,5,1
"99",1363,1364,1364,"black","age.gp4","NoTr","NoTrade","Group",15,0,5,6,4,8,6,1,2,13,3,12,7,8,1
"100",1947,1948,1948,"white","age.gp4","NoTr","NoTrade","Group",15,2,3,3,7,2,13,0,6,9,1,14,11,4,1
"101",2346,2347,2347,"black","age.gp2","NoTr","NoTrade","Group",13,0,6,6,1,7,6,0,3,10,2,11,7,6,1
"102",14,15,15,"black","age.gp2","Tr","NoTrade","Group",19,1,11,5,2,13,6,0,2,17,2,17,8,11,1
"103",55,56,56,"black","age.gp2","NoTr","NoTrade","NoGroup",6,1,2,2,1,4,2,0,2,4,1,5,3,3,1
"104",57,58,58,"black","age.gp2","NoTr","NoTrade","NoGroup",4,0,3,1,0,3,1,0,1,3,0,4,2,2,1
"105",85,86,86,"white","age.gp4","NoTr","NoTrade","Group",14,2,4,2,6,2,9,3,4,10,2,12,7,7,1
"106",227,228,228,"black","age.gp2","NoTr","NoTrade","NoGroup",14,1,3,8,2,8,5,1,5,9,2,12,7,7,1
"107",236,237,237,"white","age.gp2","Tr","NoTrade","Group",26,1,13,5,7,3,21,2,10,16,4,22,20,6,1
"108",496,497,497,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,0,4,1,4,0,2,3,1,4,3,2,1
"109",520,521,521,"black","age.gp3","NoTr","NoTrade","NoGroup",6,0,5,0,1,4,2,0,3,3,0,6,5,1,1
"110",962,963,963,"black","age.gp2","NoTr","NoTrade","Group",21,1,7,8,5,11,8,2,4,17,2,19,8,13,1
"111",968,969,969,"white","age.gp2","Tr","NoTrade","Group",25,1,9,7,8,4,18,3,9,16,0,25,17,8,1
"112",1474,1475,1475,"black","age.gp1","NoTr","NoTrade","NoGroup",8,6,1,0,1,4,2,2,1,7,1,7,2,6,1
"113",2206,2207,2207,"black","age.gp2","NoTr","Trade","Group",10,0,5,3,2,8,2,0,2,8,1,9,5,5,1
"114",2390,2391,2391,"black","age.gp2","NoTr","NoTrade","NoGroup",10,0,8,1,1,6,4,0,3,7,1,9,7,3,1
"115",2392,2393,2393,"black","age.gp2","NoTr","NoTrade","NoGroup",5,0,3,2,0,3,2,0,1,4,0,5,2,3,1
"116",2412,2413,2413,"white","age.gp3","NoTr","Trade","Group",19,0,10,6,3,1,14,4,8,11,1,18,10,9,1
"117",2516,2517,2517,"black","age.gp2","NoTr","NoTrade","Group",20,1,14,0,5,8,11,1,8,12,2,18,16,4,1
"118",2723,2724,2724,"black","age.gp3","NoTr","NoTrade","NoGroup",4,0,1,3,0,2,2,0,3,1,0,4,3,1,1
"119",2728,2729,2729,"black","age.gp3","NoTr","NoTrade","NoGroup",12,0,10,2,0,5,4,3,6,6,1,11,7,5,1
"120",2881,2882,2882,"white","age.gp2","NoTr","NoTrade","NoGroup",18,2,11,4,1,2,13,3,11,7,0,18,13,5,1
"121",15,16,16,"black","age.gp2","Tr","NoTrade","Group",29,0,14,9,6,15,12,2,7,22,4,25,18,11,1
"122",148,149,149,"white","age.gp3","NoTr","NoTrade","Group",15,2,4,4,5,2,11,2,8,7,1,14,11,4,1
"123",294,295,295,"black","age.gp2","NoTr","NoTrade","Group",17,1,12,3,1,7,8,2,3,14,3,14,8,9,1
"124",299,300,300,"white","age.gp4","NoTr","NoTrade","Group",7,1,3,1,2,2,4,1,3,4,1,6,4,3,1
"125",464,465,465,"black","age.gp3","NoTr","Trade","Group",16,0,7,6,3,12,4,0,4,12,0,16,7,9,1
"126",470,471,471,"black","age.gp3","NoTr","Trade","Group",13,0,7,2,4,5,7,1,4,9,2,11,4,9,1
"127",474,475,475,"black","age.gp3","NoTr","Trade","Group",15,2,6,4,3,13,2,0,5,10,4,11,9,6,1
"128",708,709,709,"white","age.gp2","Tr","NoTrade","Group",18,0,11,2,5,1,17,0,9,9,1,17,11,7,1
"129",709,710,710,"white","age.gp2","Tr","NoTrade","Group",30,4,10,10,6,2,26,2,10,20,1,29,21,9,1
"130",742,743,743,"white","age.gp2","Tr","NoTrade","Group",17,0,9,4,4,2,13,2,8,9,0,17,15,2,1
"131",964,965,965,"black","age.gp2","NoTr","NoTrade","Group",15,1,10,2,2,8,6,1,7,8,1,14,7,8,1
"132",1041,1042,1042,"black","age.gp4","NoTr","NoTrade","NoGroup",6,0,3,1,2,1,5,0,3,3,0,6,5,1,1
"133",1104,1105,1105,"black","age.gp2","NoTr","NoTrade","NoGroup",9,0,7,1,1,4,3,2,6,3,1,8,6,3,1
"134",1525,1526,1526,"black","age.gp4","NoTr","NoTrade","NoGroup",6,0,1,0,5,5,1,0,1,5,2,4,4,2,1
"135",1808,1809,1809,"white","age.gp2","Tr","NoTrade","Group",35,5,14,9,7,3,31,1,9,26,2,33,18,17,1
"136",1925,1926,1926,"other","age.gp2","NoTr","NoTrade","NoGroup",6,0,3,3,0,1,5,0,3,3,0,6,4,2,1
"137",2006,2007,2007,"black","age.gp4","NoTr","NoTrade","NoGroup",2,0,2,0,0,1,1,0,1,1,0,2,2,0,1
"138",2079,2080,2080,"black","age.gp3","NoTr","NoTrade","NoGroup",3,0,2,1,0,3,0,0,1,2,0,3,3,0,1
"139",2108,2109,2109,"white","age.gp2","NoTr","NoTrade","NoGroup",13,1,4,7,1,2,8,3,3,10,2,11,11,2,1
"140",2138,2139,2139,"other","age.gp2","NoTr","NoTrade","NoGroup",7,1,3,2,1,2,5,0,3,4,2,5,5,2,1
"141",2209,2210,2210,"black","age.gp2","NoTr","Trade","Group",13,1,9,1,2,3,8,2,8,5,0,13,8,5,1
"142",2263,2264,2264,"white","age.gp4","Tr","NoTrade","Group",13,2,3,0,8,3,10,0,1,12,2,11,9,4,1
"143",2391,2392,2392,"black","age.gp2","NoTr","NoTrade","NoGroup",10,2,5,1,2,5,5,0,4,6,0,10,5,5,1
"144",2407,2408,2408,"white","age.gp3","NoTr","NoTrade","NoGroup",5,0,4,1,0,1,4,0,4,1,0,5,5,0,1
"145",2563,2564,2564,"white","age.gp4","NoTr","NoTrade","Group",12,0,5,2,5,2,9,1,4,8,3,9,5,7,1
"146",2595,2596,2596,"white","age.gp3","NoTr","NoTrade","Group",20,3,9,5,3,1,14,5,5,15,2,18,15,5,1
"147",2681,2682,2682,"black","age.gp3","NoTr","NoTrade","NoGroup",11,0,3,3,5,5,6,0,4,7,2,9,8,3,1
"148",2841,2842,2842,"white","age.gp2","Tr","NoTrade","Group",22,2,8,5,7,2,19,1,11,11,0,22,16,6,1
"149",2846,2847,2847,"black","age.gp3","NoTr","NoTrade","Group",17,1,3,7,6,11,6,0,3,14,3,14,11,6,1
"150",53,54,54,"white","age.gp2","Tr","NoTrade","Group",30,4,18,7,1,3,22,5,18,12,1,29,19,11,1
"151",98,99,99,"white","age.gp3","NoTr","NoTrade","Group",26,2,11,8,5,3,20,3,12,14,0,26,17,9,1
"152",345,346,346,"white","age.gp2","NoTr","NoTrade","Group",24,1,14,5,4,1,21,2,16,8,1,23,21,3,1
"153",631,632,632,"other","age.gp1","NoTr","Trade","Group",11,4,3,3,1,1,10,0,3,8,1,10,8,3,1
"154",885,886,886,"white","age.gp3","NoTr","Trade","Group",21,2,11,6,2,4,15,2,14,7,0,21,10,11,1
"155",1322,1323,1323,"white","age.gp2","Tr","NoTrade","Group",28,1,18,7,2,2,22,4,9,19,3,25,19,9,1
"156",1362,1363,1363,"black","age.gp4","NoTr","NoTrade","Group",12,0,3,1,8,10,2,0,3,9,3,9,7,5,1
"157",1554,1555,1555,"white","age.gp3","NoTr","NoTrade","Group",19,3,7,6,3,1,16,2,8,11,0,19,13,6,1
"158",1597,1598,1598,"black","age.gp1","Tr","Trade","NoGroup",7,4,3,0,0,4,2,1,2,5,0,7,3,4,1
"159",1667,1668,1668,"black","age.gp1","Tr","Trade","Group",15,6,2,1,6,9,3,3,4,11,1,14,6,9,1
"160",1830,1831,1831,"black","age.gp4","NoTr","NoTrade","NoGroup",3,0,1,1,1,2,1,0,1,2,0,3,2,1,1
"161",1904,1905,1905,"black","age.gp1","NoTr","NoTrade","NoGroup",5,1,1,2,1,3,2,0,2,3,1,4,2,3,1
"162",1930,1931,1931,"other","age.gp2","NoTr","NoTrade","NoGroup",12,0,6,4,2,2,10,0,3,9,0,12,9,3,1
"163",2037,2038,2038,"white","age.gp4","Tr","NoTrade","Group",10,1,3,1,5,1,8,1,4,6,0,10,8,2,1
"164",2088,2089,2089,"black","age.gp3","NoTr","NoTrade","NoGroup",8,0,4,1,3,6,2,0,3,5,0,8,6,2,1
"165",2164,2165,2165,"black","age.gp2","NoTr","NoTrade","NoGroup",13,2,5,5,1,6,5,2,3,10,0,13,9,4,1
"166",2368,2369,2369,"black","age.gp2","Tr","NoTrade","Group",26,2,12,6,6,17,8,1,10,16,3,23,16,10,1
"167",2458,2459,2459,"black","age.gp1","NoTr","NoTrade","NoGroup",10,7,2,0,1,6,4,0,3,7,1,9,3,7,1
"168",2461,2462,2462,"black","age.gp1","NoTr","NoTrade","NoGroup",9,5,3,1,0,4,2,3,3,6,1,8,4,5,1
"169",2606,2607,2607,"black","age.gp2","NoTr","NoTrade","Group",26,0,18,2,6,12,10,4,9,17,2,24,14,12,1
"170",226,227,227,"black","age.gp2","NoTr","NoTrade","NoGroup",11,0,5,5,1,5,6,0,3,8,0,11,6,5,1
"171",296,297,297,"white","age.gp4","NoTr","NoTrade","Group",13,2,4,4,3,2,9,2,5,8,1,12,9,4,1
"172",634,635,635,"other","age.gp1","NoTr","Trade","Group",10,5,2,1,2,1,9,0,5,5,1,9,6,4,1
"173",663,664,664,"white","age.gp2","NoTr","NoTrade","Group",21,2,12,3,4,4,14,3,10,11,0,21,12,9,1
"174",681,682,682,"white","age.gp4","Tr","NoTrade","Group",13,1,3,2,7,2,11,0,5,8,1,12,11,2,1
"175",1260,1261,1261,"black","age.gp3","NoTr","NoTrade","NoGroup",7,0,4,1,2,5,2,0,2,5,1,6,4,3,1
"176",1349,1350,1350,"black","age.gp4","NoTr","NoTrade","Group",9,1,2,3,3,7,2,0,2,7,0,9,3,6,1
"177",1385,1386,1386,"black","age.gp3","NoTr","NoTrade","NoGroup",10,1,2,3,4,6,4,0,6,4,0,10,5,5,1
"178",1761,1762,1762,"black","age.gp4","NoTr","NoTrade","NoGroup",5,1,2,1,1,4,1,0,3,2,0,5,2,3,1
"179",2069,2070,2070,"white","age.gp3","Tr","NoTrade","Group",22,4,11,4,3,3,18,1,6,16,0,22,13,9,1
"180",2173,2174,2174,"white","age.gp2","NoTr","NoTrade","Group",16,2,11,2,1,1,12,3,14,2,0,16,10,6,1
"181",2297,2298,2298,"other","age.gp2","Tr","NoTrade","Group",10,0,6,3,1,2,8,0,5,5,0,10,9,1,1
"182",2367,2368,2368,"black","age.gp2","Tr","NoTrade","Group",17,1,7,6,3,9,8,0,4,13,3,14,11,6,1
"183",2479,2480,2480,"other","age.gp1","NoTr","NoTrade","NoGroup",9,3,2,2,2,2,7,0,2,7,1,8,3,6,1
"184",2686,2687,2687,"black","age.gp3","NoTr","NoTrade","NoGroup",6,1,3,0,2,3,2,1,2,4,0,6,2,4,1
"185",2854,2855,2855,"black","age.gp3","NoTr","NoTrade","Group",15,0,10,4,1,8,6,1,5,10,0,15,10,5,1
"186",18,19,19,"black","age.gp2","Tr","NoTrade","Group",19,0,6,7,6,12,7,0,2,17,4,15,13,6,1
"187",293,294,294,"black","age.gp2","NoTr","NoTrade","Group",17,1,9,3,4,7,9,1,4,13,2,15,11,6,1
"188",932,933,933,"white","age.gp3","NoTr","NoTrade","NoGroup",7,1,2,3,1,1,6,0,7,0,1,6,5,2,1
"189",1050,1051,1051,"black","age.gp4","NoTr","NoTrade","NoGroup",8,0,3,0,5,5,3,0,3,5,1,7,5,3,1
"190",1346,1347,1347,"black","age.gp4","NoTr","NoTrade","Group",10,0,2,3,5,6,4,0,4,6,1,9,7,3,1
"191",1358,1359,1359,"black","age.gp4","NoTr","NoTrade","Group",9,1,3,1,4,6,3,0,3,6,1,8,4,5,1
"192",1375,1376,1376,"black","age.gp2","NoTr","NoTrade","NoGroup",15,1,11,3,0,6,8,1,5,10,3,12,8,7,1
"193",1394,1395,1395,"black","age.gp3","NoTr","NoTrade","NoGroup",8,1,2,2,3,5,3,0,2,6,1,7,6,2,1
"194",1710,1711,1711,"white","age.gp2","Tr","NoTrade","Group",23,1,12,7,3,2,18,3,9,14,0,23,16,7,1
"195",1852,1853,1853,"black","age.gp3","NoTr","NoTrade","NoGroup",4,0,2,1,1,2,1,1,1,3,1,3,2,2,1
"196",2091,2092,2092,"black","age.gp3","NoTr","NoTrade","NoGroup",12,2,6,3,1,5,5,2,7,5,2,10,9,3,1
"197",2105,2106,2106,"white","age.gp2","Tr","NoTrade","Group",18,3,7,4,4,1,14,3,9,9,4,14,15,3,1
"198",2208,2209,2209,"black","age.gp2","NoTr","Trade","Group",19,4,6,6,3,11,7,1,5,14,2,17,11,8,1
"199",2229,2230,2230,"black","age.gp4","NoTr","Trade","Group",10,0,1,2,7,8,2,0,1,9,0,10,3,7,1
"200",2600,2601,2601,"white","age.gp3","NoTr","NoTrade","Group",10,2,6,1,1,1,7,2,6,4,0,10,8,2,1
"201",2705,2706,2706,"white","age.gp4","NoTr","NoTrade","Group",13,0,6,3,4,2,9,2,6,7,2,11,9,4,1
"202",19,20,20,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,1,0,1
"203",20,21,21,"black","age.gp4","NoTr","Trade","NoGroup",1,0,1,0,0,0,1,0,0,1,0,1,1,0,1
"204",1096,1097,1097,"white","age.gp2","NoTr","NoTrade","Group",27,3,13,4,7,3,21,3,16,11,1,26,13,14,1
"205",21,22,22,"black","age.gp4","NoTr","Trade","NoGroup",4,1,0,1,2,2,2,0,2,2,1,3,3,1,1
"206",682,683,683,"white","age.gp4","Tr","NoTrade","Group",14,1,3,4,6,3,9,2,1,13,1,13,5,9,1
"207",829,830,830,"white","age.gp3","NoTr","NoTrade","NoGroup",10,0,3,2,5,2,8,0,4,6,1,9,3,7,1
"208",1368,1369,1369,"black","age.gp4","NoTr","NoTrade","Group",10,0,3,0,7,6,4,0,2,8,2,8,4,6,1
"209",1665,1666,1666,"black","age.gp1","Tr","Trade","Group",17,7,4,4,2,8,6,3,3,14,2,15,3,14,1
"210",22,23,23,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
"211",486,487,487,"black","age.gp4","NoTr","NoTrade","NoGroup",3,0,0,1,2,3,0,0,0,3,1,2,0,3,1
"212",23,24,24,"black","age.gp4","NoTr","Trade","NoGroup",1,0,1,0,0,0,1,0,1,0,0,1,1,0,1
"213",229,230,230,"white","age.gp2","Tr","NoTrade","Group",25,2,11,5,7,1,19,5,8,17,3,22,18,7,1
"214",24,25,25,"black","age.gp4","NoTr","Trade","NoGroup",3,0,1,0,2,0,3,0,3,0,0,3,3,0,1
