"","X","Unnamed..0","node","ethcat","agecat","treat","Trade_sex","Group_sex","degree","age.gp1","age.gp2","age.gp3","age.gp4","black","white","other","Tr","NoTr","Trade","NoTrade","Group","NoGroup","net"
"5030",2116,2117,2117,"white","age.gp2","NoTr","NoTrade","NoGroup",13,1,5,3,4,1,11,1,5,8,2,11,7,6,2
"5031",2816,2817,2817,"other","age.gp2","NoTr","NoTrade","NoGroup",4,0,3,1,0,0,4,0,3,1,1,3,3,1,2
"5032",2871,2872,2872,"white","age.gp1","NoTr","NoTrade","Group",28,12,5,7,4,1,22,5,10,18,4,24,17,11,2
"5033",2889,2890,2890,"other","age.gp1","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,1,0,1,0,1,0,1,0,2
"5034",659,660,660,"white","age.gp2","Tr","NoTrade","NoGroup",15,1,7,1,6,4,9,2,5,10,2,13,9,6,2
"5035",412,413,413,"white","age.gp4","NoTr","NoTrade","NoGroup",2,1,1,0,0,0,0,2,0,2,1,1,1,1,2
"5036",2141,2142,2142,"other","age.gp2","NoTr","NoTrade","NoGroup",4,0,2,1,1,1,3,0,1,3,0,4,2,2,2
"5037",413,414,414,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,1,0,0,1,0,1,0,1,2
"5038",415,416,416,"white","age.gp4","NoTr","NoTrade","NoGroup",3,0,0,0,3,0,3,0,2,1,0,3,2,1,2
"5039",2629,2630,2630,"white","age.gp4","NoTr","NoTrade","NoGroup",2,0,0,0,2,0,2,0,0,2,0,2,1,1,2
"5040",416,417,417,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0,2
"5041",1048,1049,1049,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,0,4,2,3,0,1,4,0,5,2,3,2
"5042",1571,1572,1572,"white","age.gp4","Tr","NoTrade","Group",9,0,2,0,7,0,8,1,1,8,0,9,7,2,2
"5043",418,419,419,"white","age.gp4","NoTr","NoTrade","NoGroup",2,0,0,0,2,0,2,0,1,1,0,2,2,0,2
"5044",2262,2263,2263,"white","age.gp4","Tr","NoTrade","Group",11,0,1,2,8,1,10,0,1,10,0,11,6,5,2
"5045",2951,2952,2952,"white","age.gp4","NoTr","NoTrade","Group",10,0,0,2,8,1,9,0,4,6,1,9,7,3,2
"5046",419,420,420,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,1,0,0,1,0,1,0,1,2
"5047",420,421,421,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,2,2,1,4,0,2,3,1,4,4,1,2
"5048",993,994,994,"white","age.gp4","NoTr","NoTrade","NoGroup",2,0,0,0,2,0,2,0,1,1,0,2,1,1,2
"5049",421,422,422,"white","age.gp4","NoTr","NoTrade","NoGroup",8,2,0,2,4,3,4,1,2,6,2,6,5,3,2
"5050",485,486,486,"black","age.gp4","NoTr","NoTrade","NoGroup",6,0,1,2,3,1,5,0,3,3,0,6,3,3,2
"5051",716,717,717,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,0,4,1,4,0,2,3,0,5,3,2,2
"5052",1874,1875,1875,"other","age.gp1","NoTr","NoTrade","Group",6,2,1,0,3,2,4,0,1,5,0,6,1,5,2
"5053",2215,2216,2216,"black","age.gp4","NoTr","Trade","Group",9,2,1,1,5,3,4,2,3,6,0,9,5,4,2
"5054",422,423,423,"white","age.gp4","NoTr","NoTrade","NoGroup",4,0,1,1,2,0,3,1,3,1,0,4,4,0,2
