,node,treat,degree,size_comm_tr,size_comm_no_tr,old_label,type_comm_tr,type_comm_no_tr
2822,2823,NoTr,1,1,1,2854,small,small
2823,2824,NoTr,3,2522,2604,2195,large,large
2824,2825,NoTr,1,1,1,1652,small,small
2825,2826,NoTr,1,1,1,1655,small,small
2826,2827,NoTr,1,1,1,2754,small,small
2827,2828,NoTr,1,1,1,2694,small,small
2828,2829,NoTr,1,1,1,1680,small,small
2829,2830,NoTr,1,1,1,2653,small,small
2830,2831,NoTr,1,2,2,1688,small,small
2831,2832,NoTr,1,1,1,1690,small,small
2832,2833,NoTr,2,5,5,1992,small,small
2833,2834,NoTr,1,5,5,2210,small,small
2834,2835,NoTr,1,1,1,2944,small,small
2835,2836,NoTr,3,2522,2604,1702,large,large
2836,2837,NoTr,1,1,1,1706,small,small
2837,2838,NoTr,1,1,1,2874,small,small
2838,2839,NoTr,1,1,1,2538,small,small
2839,2840,NoTr,1,1,1,2657,small,small
2840,2841,NoTr,4,2522,2604,1747,large,large
2841,2842,NoTr,1,1,1,1752,small,small
2842,2843,NoTr,1,1,1,2788,small,small
2843,2844,NoTr,2,2522,2604,2030,large,large
2844,2845,NoTr,1,1,1,1786,small,small
2845,2846,NoTr,1,1,1,1995,small,small
2846,2847,NoTr,1,1,1,2198,small,small
2847,2848,NoTr,3,2522,2604,2240,large,large
2848,2849,NoTr,1,1,1,2898,small,small
2849,2850,NoTr,1,1,1,2294,small,small
2850,2851,NoTr,1,1,1,2878,small,small
2851,2852,NoTr,2,2522,2604,2827,large,large
2852,2853,NoTr,1,2,1,2765,small,small
2853,2854,NoTr,1,1,1,2757,small,small
2854,2855,NoTr,1,1,1,2871,small,small
2855,2856,NoTr,1,1,1,1879,small,small
2856,2857,NoTr,1,1,1,1900,small,small
2857,2858,NoTr,1,1,1,2893,small,small
2858,2859,NoTr,1,1,1,1913,small,small
2859,2860,NoTr,1,2,1,2737,small,small
2860,2861,NoTr,2,2522,2604,2674,large,large
2861,2862,NoTr,1,1,1,2858,small,small
2862,2863,NoTr,1,1,1,2518,small,small
2863,2864,NoTr,1,1,1,2875,small,small
2864,2865,NoTr,2,2522,2604,1959,large,large
2865,2866,NoTr,1,1,1,1990,small,small
2866,2867,NoTr,4,2,2,2015,small,small
2867,2868,NoTr,1,1,1,1970,small,small
2868,2869,NoTr,1,1,1,2118,small,small
2869,2870,NoTr,2,2522,2604,2087,large,large
2870,2871,NoTr,1,2,1,2876,small,small
2871,2872,NoTr,1,1,1,1981,small,small
2872,2873,NoTr,1,2,2,2819,small,small
2873,2874,NoTr,1,2,2,2820,small,small
2874,2875,NoTr,1,5,5,2693,small,small
2875,2876,NoTr,2,2522,2604,2000,large,large
2876,2877,NoTr,1,1,1,2048,small,small
2877,2878,NoTr,1,7,5,2008,small,small
2878,2879,NoTr,1,7,5,2817,small,small
2879,2880,Tr,1,2,2,2018,small,small
2880,2881,NoTr,1,1,1,2365,small,small
2881,2882,Tr,3,2,2604,2026,small,large
2882,2883,NoTr,5,2522,2604,2259,large,large
2883,2884,NoTr,1,1,1,2032,small,small
2884,2885,NoTr,1,3,3,2686,small,small
2885,2886,NoTr,1,3,3,2051,small,small
2886,2887,NoTr,1,3,3,2317,small,small
2887,2888,NoTr,1,2,2,2044,small,small
2888,2889,NoTr,3,2522,2604,2685,large,large
2889,2890,NoTr,1,1,1,2373,small,small
2890,2891,NoTr,1,1,1,2522,small,small
2891,2892,NoTr,2,2522,2604,2082,large,large
2892,2893,NoTr,1,1,1,2263,small,small
2893,2894,NoTr,1,1,1,2515,small,small
2894,2895,NoTr,1,1,1,2745,small,small
2895,2896,NoTr,1,2,2,2101,small,small
2896,2897,NoTr,1,2,2,2933,small,small
2897,2898,NoTr,1,1,1,2348,small,small
2898,2899,NoTr,1,1,1,2746,small,small
2899,2900,NoTr,1,1,1,2197,small,small
2900,2901,NoTr,1,2,2,2181,small,small
2901,2902,NoTr,1,2,1,2705,small,small
2902,2903,NoTr,1,2,1,2816,small,small
2903,2904,NoTr,1,1,1,2186,small,small
2904,2905,NoTr,1,1,1,2510,small,small
2905,2906,NoTr,1,1,1,2209,small,small
2906,2907,NoTr,1,1,1,2213,small,small
2907,2908,NoTr,1,3,3,2215,small,small
2908,2909,NoTr,1,3,3,2927,small,small
2909,2910,NoTr,1,3,1,2901,small,small
2910,2911,NoTr,1,1,1,2237,small,small
2911,2912,NoTr,1,1,1,2909,small,small
2912,2913,NoTr,1,1,1,2253,small,small
2913,2914,NoTr,1,1,1,2844,small,small
2914,2915,NoTr,1,2,2,2268,small,small
2915,2916,NoTr,1,1,1,2273,small,small
2916,2917,NoTr,1,1,1,2514,small,small
2917,2918,NoTr,1,1,1,2921,small,small
2918,2919,NoTr,1,1,1,2486,small,small
2919,2920,NoTr,1,1,1,2298,small,small
2920,2921,NoTr,1,2,2,2333,small,small
2921,2922,NoTr,1,1,1,2938,small,small
2922,2923,Tr,3,2,2604,2398,small,large
