,node,prop_trt,degree
0,2,0.25884016973125884,16
1,3,0.25954738330975957,21
2,56,0.2602935911206588,14
3,116,0.25431331953071085,36
4,118,0.2596802841918295,19
5,121,0.25979527003176844,23
6,123,0.258972554539057,18
7,1157,0.2585844428871759,21
8,2344,0.26262988176280905,16
9,200,0.25795176511709195,25
10,383,0.2555478502080444,30
11,1049,0.25795176511709195,23
12,1016,0.2686072218128224,12
13,878,0.2608232789212207,19
14,1742,0.27226955848179707,11
15,62,0.25564432094477246,27
16,22,0.258222533240028,22
17,548,0.25759162303664923,25
18,1849,0.2624955052139518,16
19,1506,0.26420557365182773,10
20,1235,0.25832457062740977,25
21,2413,0.26465234801601745,12
22,400,0.2565880721220527,27
23,842,0.2603466572338168,20
24,1220,0.2627606038820992,18
25,102,0.26083866382373844,16
26,1232,0.2633863965267728,13
27,1725,0.25920679886685555,18
28,1511,0.2578947368421053,20
29,852,0.2633093525179856,14
30,594,0.26608187134502925,13
31,713,0.2800156433320297,7
32,459,0.2607612949128424,20
33,606,0.2598870056497175,24
34,15,0.25681341719077566,25
35,16,0.2640551323902793,15
36,17,0.2670558190441445,10
37,20,0.2699248120300752,12
38,756,0.25651720542231493,30
39,757,0.25902335456475584,26
40,758,0.26150552978951125,13
41,761,0.26073075558708764,17
42,764,0.2625496569158541,10
43,767,0.2573324022346369,24
44,994,0.2667398463227223,12
45,1548,0.2573324022346369,26
46,832,0.25679442508710804,22
47,1183,0.25607217210270644,31
48,563,0.2573324022346369,22
49,805,0.27534562211981567,5
50,2537,0.2720754716981132,9
51,691,0.2720060445787684,10
52,2162,0.2703814510097233,11
53,2639,0.26471650415312387,14
54,1664,0.2773044151820294,9
55,661,0.25679442508710804,24
56,787,0.2565972222222222,36
57,921,0.26182853077196727,24
58,1397,0.26393917451122373,16
59,2573,0.2641785583607757,12
60,836,0.26055833929849676,16
61,25,0.2578506629448709,23
62,26,0.26274228284278534,22
63,351,0.258765778401122,20
64,2059,0.27135867519759127,7
65,849,0.25609756097560976,27
66,1528,0.2618622904031395,12
67,85,0.2574744987689061,20
68,320,0.25805322128851543,20
69,167,0.25563648976760317,33
70,1502,0.2738328756375049,8
71,480,0.26128688233202985,14
72,386,0.2597310686482661,17
73,1483,0.2750759878419453,6
74,2231,0.28996598639455784,6
75,1177,0.25510557286258223,31
76,983,0.25830129325410695,23
77,199,0.2578947368421053,17
78,549,0.257073000349284,26
79,791,0.2593244194229416,23
80,556,0.2730725408279529,9
81,2168,0.2696502444528018,10
82,2566,0.2616487455197133,13
83,2681,0.27078651685393257,7
84,2369,0.2621359223300971,14
85,535,0.2581550333216415,18
86,29,0.26778547975191536,12
87,33,0.260148252735616,19
88,804,0.2622891998564765,18
89,806,0.25448275862068964,29
90,808,0.25742228431714986,24
91,809,0.2567237163814181,27
92,810,0.2684288905435592,11
93,811,0.2597310686482661,17
94,298,0.25725270884306184,18
95,812,0.25906370996128125,23
96,1410,0.2589065255731922,17
97,1246,0.27386839102320276,7
98,1059,0.2630637079455977,20
99,225,0.2623423423423423,16
100,1390,0.2700702922678505,10
101,1029,0.2575332866152768,20
102,2165,0.2628939828080229,10
103,309,0.2598369372562921,18
104,1425,0.2693303736588975,11
105,1604,0.26627651792245793,11
106,2609,0.275648470770422,5
107,378,0.2565536525690318,24
108,2493,0.2636494252873563,10
109,577,0.2595880681818182,18
110,728,0.2565262791507135,27
111,134,0.2566063977746871,29
112,1775,0.2584938704028021,21
113,1314,0.2565353781805507,28
114,1388,0.2587610619469027,17
115,1331,0.2565353781805507,23
116,1161,0.25935074100211714,17
117,2058,0.25795176511709195,20
118,478,0.25668634942688434,21
119,1146,0.26300681736634374,12
120,1368,0.25591922005571033,29
121,1372,0.2707390648567119,11
122,1531,0.258608573436402,20
123,289,0.25662482566248257,26
124,1710,0.2605758976182012,19
125,1730,0.2580872011251758,23
126,580,0.2561525129982669,27
127,319,0.263328530259366,11
128,680,0.2620320855614973,14
129,405,0.26103988603988604,18
130,370,0.2552896288588276,27
131,775,0.25669565217391305,26
132,1057,0.2635183850036049,13
133,1132,0.26445086705202314,12
134,2360,0.2573632538569425,22
135,47,0.266397947966288,14
136,1082,0.26321428571428573,16
137,1294,0.26410998552821996,11
138,952,0.2625178826895565,17
139,618,0.2575122292103424,19
140,1000,0.2559833506763788,32
141,1271,0.2726248591813744,8
142,1797,0.26937406855439644,12
143,931,0.272969881814716,7
144,1465,0.25804195804195806,28
145,1009,0.2650036153289949,13
146,1133,0.26017699115044246,16
147,1316,0.2785992217898833,5
148,264,0.2567237163814181,24
149,1808,0.26833763361592333,13
150,1756,0.2695035460992908,6
151,57,0.265642151481888,17
152,101,0.2544071897684065,27
153,1760,0.2761867398979992,7
154,229,0.2606060606060606,20
155,1352,0.2685735512630015,7
156,356,0.257273045916579,20
157,615,0.262705798138869,22
158,1847,0.27338957055214724,6
159,2490,0.2724177071509648,10
160,736,0.257985257985258,27
161,152,0.2696461824953445,6
162,155,0.25526770293609674,29
163,81,0.2614003590664273,17
164,1191,0.27259092613423325,11
165,712,0.2628366247755835,17
166,1743,0.278436018957346,7
167,1559,0.2562937062937063,19
