,node,prop_trt,degree
0,2575,0.2780180888714117,4
1,2827,0.2793273174733388,5
2,9,0.30721966205837176,3
3,1513,0.2726235741444867,6
4,1224,0.28657228657228656,4
5,2846,0.27341964965727344,5
6,1908,0.290251433612704,5
7,2607,0.27502921698480715,4
8,1480,0.2793941809485851,6
9,1076,0.2871883061049011,4
10,1503,0.28086672117743255,4
11,1528,0.2901576480613549,4
12,1919,0.28452579034941766,4
13,1520,0.2781161185546082,4
14,2279,0.2733485193621868,9
15,1212,0.2678306092124814,7
16,1160,0.28009728415079044,4
17,1262,0.28342245989304815,4
18,2577,0.27522195318805487,5
19,776,0.28137988362427263,3
20,1801,0.2884948096885813,4
21,2316,0.2758070944599442,5
22,2556,0.29910923581809656,4
23,1559,0.27565867086118756,4
24,2420,0.2805486284289277,4
25,1515,0.284677763551003,2
26,1149,0.2746815286624204,5
27,947,0.28535564853556483,4
28,1504,0.2851153039832285,5
29,1048,0.2888318356867779,4
30,2554,0.30210772833723654,3
31,2714,0.2973365617433414,3
32,2381,0.27828868452618954,4
33,1531,0.28964613368283093,4
34,2591,0.27634660421545665,4
35,2613,0.28353909465020577,5
36,494,0.2838499184339315,5
37,1419,0.2868150684931507,4
38,743,0.2777327935222672,5
39,1107,0.27982207844723006,10
40,2533,0.2940340909090909,5
41,1814,0.291161956034096,4
42,1868,0.2922312556458898,4
43,470,0.28059332509270707,3
44,1247,0.3020527859237537,2
45,1481,0.2878133102852204,4
46,1921,0.2818548387096774,6
47,2912,0.2950743494423792,4
48,1518,0.28755919070167885,3
49,2914,0.3053311793214863,3
50,1524,0.27775567051333067,5
51,2744,0.3034232365145228,3
52,2503,0.3120605732828556,3
53,1570,0.2842660178426602,3
54,1522,0.2983908045977012,2
55,925,0.2849528495284953,7
56,1920,0.29576837416481067,4
57,1946,0.2917391304347826,3
58,2081,0.2832532051282051,7
59,1517,0.2891200693541396,2
60,2596,0.2814874050379848,5
61,1660,0.2753680859530442,6
62,1603,0.30063137445361826,3
63,926,0.3038593063019052,3
64,1424,0.2792022792022792,5
65,950,0.2851727042965459,5
66,1441,0.2856529209621993,3
67,1487,0.30039331366764993,3
68,2618,0.2815261044176707,4
69,1508,0.31024930747922436,3
70,2617,0.30014224751066854,3
71,1764,0.2873706004140787,5
72,1898,0.3128800442233278,3
73,1739,0.28910976663785654,5
74,2600,0.2895419187554019,3
75,2659,0.29669260700389105,3
76,1499,0.2911500641299701,3
77,2289,0.29769736842105265,4
78,1821,0.3103448275862069,2
79,1792,0.30705996131528046,5
80,1793,0.3203214695752009,3
