,V1,V2
0,1,2
1,1,3
2,1,4
3,1,5
4,1,6
5,1,7
6,2,1
7,2,863
8,2,2078
9,2,1154
10,2,1588
11,2,2561
12,2,2575
13,2,2654
14,2,451
15,2,1428
16,2,1017
17,2,1196
18,2,526
19,2,180
20,2,377
21,2,52
22,2,1171
23,2,116
24,2,476
25,2,977
26,2,1615
27,2,427
28,2,2632
29,2,44
30,2,1542
31,2,1060
32,3,1
33,3,2016
34,3,1617
35,3,983
36,3,2224
37,3,571
38,3,818
39,3,2141
40,3,455
41,3,239
42,3,2688
43,3,349
44,4,1
45,4,808
46,4,1131
47,4,552
48,4,2501
49,4,2506
50,4,2395
51,4,547
52,4,723
53,4,63
54,4,1450
55,4,2630
56,4,71
57,4,1640
58,5,1
59,5,2212
60,5,1462
61,5,62
62,5,1973
63,5,1806
64,5,183
65,5,379
66,6,1
67,6,492
68,6,69
69,6,1284
70,6,2553
71,6,322
72,6,154
73,6,432
74,6,1358
75,6,252
76,6,2745
77,6,1911
78,6,573
79,6,1024
80,6,657
81,6,2933
82,6,2827
83,6,1430
84,6,1449
85,6,2478
86,6,11
87,6,1151
88,6,1958
89,6,426
90,6,2851
91,6,498
92,6,2897
93,6,333
94,6,358
95,6,516
96,6,954
97,7,1
98,7,151
99,7,1357
100,7,938
101,7,803
102,7,2224
103,7,2698
104,7,1100
105,7,569
106,7,1082
107,7,899
108,7,725
109,8,9
110,8,10
111,8,11
112,8,12
113,8,13
114,8,14
115,8,15
116,8,16
117,9,8
118,9,1513
119,9,1514
120,10,8
121,10,808
122,10,654
123,10,131
124,10,1532
125,10,1533
126,10,1534
127,10,569
128,10,640
129,11,6
130,11,8
131,11,1799
132,11,93
133,11,1596
134,11,2240
135,11,2241
136,11,690
137,12,8
138,12,134
139,12,1834
140,12,1265
141,12,1999
142,12,377
143,12,2877
144,12,117
145,12,201
146,13,8
147,13,883
148,13,1225
149,13,321
150,13,2085
151,13,1259
152,13,1979
153,13,1380
154,13,344
155,13,1544
156,13,78
157,13,179
158,14,8
159,14,1021
160,14,916
161,14,1577
162,14,2374
163,14,310
164,14,815
165,14,2038
166,15,8
167,15,924
168,15,187
169,15,661
170,15,1929
171,15,1833
172,15,545
173,15,2152
174,15,2463
175,15,157
176,15,1063
177,15,2711
178,15,275
179,15,1646
180,15,2066
181,15,1450
182,15,2082
183,15,1728
184,15,1881
185,15,1080
186,15,2391
187,15,1172
188,15,329
189,15,1740
190,15,1923
191,15,508
192,15,1887
193,15,1505
194,15,2392
195,16,8
196,16,2068
197,16,1866
198,17,18
199,17,19
200,17,20
201,17,21
202,17,22
203,17,23
204,17,24
205,17,25
206,17,26
207,18,17
208,18,170
209,18,171
210,18,172
211,18,173
212,18,174
213,18,175
214,18,176
215,18,177
216,18,178
217,18,179
218,18,180
219,18,181
220,18,182
221,18,183
222,18,184
223,18,185
224,19,17
225,19,1339
226,19,1633
227,19,1010
228,19,242
229,19,585
230,19,571
231,19,1312
232,19,1078
233,19,1216
234,19,99
235,19,1025
236,19,1634
237,19,1635
238,19,119
239,19,331
240,19,1268
241,19,1542
242,19,234
243,19,1557
244,20,17
245,20,785
246,20,2238
