,V1,V2
0,1,2
1,1,3
2,1,4
3,1,5
4,1,6
5,1,7
6,2,1
7,2,56
8,2,113
9,2,77
10,2,114
11,2,115
12,2,116
13,2,117
14,2,118
15,2,119
16,2,120
17,2,121
18,2,122
19,2,123
20,2,124
21,2,125
22,3,1
23,3,738
24,3,1137
25,3,1734
26,3,1157
27,3,2611
28,3,2344
29,3,1130
30,3,200
31,3,1469
32,3,2132
33,3,1839
34,3,779
35,3,1924
36,3,890
37,3,2525
38,3,2651
39,3,383
40,3,783
41,3,1894
42,3,2667
43,4,1
44,4,981
45,4,1049
46,4,676
47,4,1016
48,4,878
49,4,347
50,4,1570
51,5,1
52,5,1225
53,5,2234
54,5,1742
55,5,2623
56,5,2733
57,6,1
58,6,60
59,6,62
60,6,1544
61,6,2065
62,7,1
63,7,190
64,7,585
65,7,545
66,7,881
67,7,1482
68,7,22
69,7,548
70,7,175
71,7,1541
72,7,317
73,7,1704
74,7,1849
75,7,1103
76,7,1506
77,7,1235
78,7,1385
79,7,1699
80,7,2413
81,7,2513
82,7,51
83,7,1562
84,8,9
85,8,10
86,8,11
87,8,12
88,9,8
89,9,1027
90,9,400
91,9,842
92,9,2137
93,9,2138
94,9,1220
95,9,829
96,9,1416
97,9,916
98,9,176
99,9,1237
100,10,8
101,10,102
102,10,649
103,10,2509
104,10,1512
105,10,1232
106,10,1725
107,10,697
108,11,8
109,12,8
110,12,1511
111,12,2316
112,12,1930
113,12,1909
114,12,336
115,12,852
116,12,1849
117,12,594
118,12,713
119,12,459
120,12,606
121,12,308
122,13,14
123,13,15
124,13,16
125,13,17
126,13,18
127,13,19
128,13,20
129,14,13
130,14,753
131,14,754
132,14,755
133,14,756
134,14,757
135,14,228
136,14,758
137,14,759
138,14,760
139,14,761
140,14,762
141,14,763
142,14,764
143,14,765
144,14,766
145,14,767
146,15,13
147,15,514
148,15,1012
149,15,1629
150,15,994
151,15,1266
152,15,1630
153,15,1631
154,15,1632
155,15,1541
156,15,1633
157,15,1548
158,15,297
159,15,456
160,15,1634
161,15,832
162,15,1183
163,15,482
164,15,1635
165,15,627
166,15,1051
167,15,563
168,15,1636
169,15,584
170,15,407
171,16,13
172,16,147
173,16,1794
174,16,805
175,16,2144
176,16,2161
177,16,1030
178,16,2537
179,16,887
180,16,779
181,16,747
182,16,691
183,16,1359
184,16,1441
185,16,168
186,17,13
187,17,1751
188,17,2162
189,17,2638
190,17,1469
191,17,2639
192,17,195
193,17,36
194,17,636
195,17,1026
196,18,13
197,18,484
198,18,1511
199,18,193
200,18,1664
201,18,151
202,18,661
203,18,1560
204,18,973
205,18,1248
206,19,13
207,19,1667
208,19,787
209,19,1013
210,19,2546
211,19,2669
212,19,2606
213,20,13
214,20,516
215,20,2315
216,20,2600
217,20,921
218,20,1397
219,20,2573
220,20,2928
221,20,1601
222,20,836
223,20,2749
224,20,1237
225,21,22
226,21,23
227,21,24
228,21,25
229,21,26
230,22,7
231,22,21
232,22,351
233,22,311
234,22,968
235,22,1496
236,22,329
237,22,2059
238,22,849
239,22,2060
240,22,2061
241,22,1528
242,22,85
243,22,358
244,22,320
245,22,96
246,22,988
247,22,366
